freq,err,l
2249.4700,0.4165,1
2305.8300,0.8581,2
2313.7300,0.3435,0
2367.9000,0.5794,1
2425.3700,1.7865,2
2433.4200,0.6953,0
2490.2300,0.7547,1
2545.0200,0.8877,2
2552.3900,0.6816,0
2609.2300,0.4820,1
2666.1900,0.9898,2
2672.3700,1.0436,0
2728.4500,0.6783,1
2783.0300,1.5279,2
2790.1600,1.1009,0
2849.8400,0.8412,1
2906.7200,2.4566,2
2912.6000,1.1417,0
2971.5000,1.3244,1
