freq,err,l
2439.5500,0.4618,0
2499.6000,0.3197,1
2558.0600,0.9939,2
2565.8400,1.0410,0
2625.2300,0.4074,1
2682.9800,1.1159,2
2691.7300,0.4875,0
2752.1000,0.8126,1
2809.7500,0.6137,2
2816.7600,0.4594,0
2876.8000,0.4397,1
2935.2600,0.6376,2
2944.5200,0.7220,0
3002.6600,0.5114,1
3069.4000,1.0369,0
3127.6000,0.7349,1
