freq,err,l
2368.7600,1.4205,2
2433.3100,0.8569,1
2494.9100,0.8229,0
2550.4100,0.7826,1
2603.6300,1.5555,2
2611.6300,1.2106,0
2667.0300,0.5830,1
2721.5000,1.1065,2
2783.0900,0.8014,1
