ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
5394046,8.123,5081,12.193,35,477.188,229.744,533.020,227.677
5452928,15.667,0,0.000,35,46710.674,15540.841,46314.735,15097.236
5576756,8.074,5142,8.674,36,446.700,192.602,494.491,194.600
5624184,15.997,0,0.000,35,108802.915,20118.736,107539.997,20834.131
5624184,15.997,0,0.000,36,98848.186,17159.240,99473.521,18348.411
5640393,11.181,0,0.000,29,7635.890,5592.752,7730.900,5680.252
5656273,9.211,3815,0.587,29,33633.478,30689.165,33618.197,30658.644
5676537,9.320,4515,0.687,29,2593.635,2329.856,2619.770,2228.393
5678173,8.006,4931,10.486,29,507.312,299.224,525.630,294.981
5717323,8.107,4475,16.725,29,554.383,397.331,571.494,396.432
5724661,11.205,8379,1.721,29,2183.348,393.070,2283.536,411.661
5778313,8.001,4740,7.527,29,524.209,327.391,526.106,327.953
5796048,10.808,3621,0.559,29,12218.260,11956.867,12330.783,11971.938
6176523,7.473,6599,10.032,34,333.407,127.695,319.569,123.351
6424046,8.386,5214,9.968,34,507.559,207.503,508.828,212.461
6609005,13.282,0,0.000,34,30628.182,18409.146,30641.798,18701.272
6610653,10.219,5856,2.063,34,1238.383,527.415,1212.031,526.209
6677245,5.384,5938,1.633,34,203.559,47.877,120.043,33.066
6778185,8.004,5309,2.791,34,414.029,93.023,404.783,90.100
6871644,8.002,10144,3.698,34,390.885,66.294,411.459,76.487
6992156,12.393,5868,0.819,34,4312.692,815.264,4389.008,902.266
7020254,12.746,5742,0.856,34,5720.718,1509.894,5738.630,1485.112
7032000,8.037,5731,12.541,34,461.773,209.445,436.963,205.916
7148510,8.033,4679,13.420,29,611.503,404.244,551.769,408.694
7151484,9.880,3403,0.439,29,11650.791,7423.169,11596.494,7131.607
7220927,8.020,4862,9.735,29,638.471,503.925,610.006,496.830
7222624,8.627,4712,10.858,30,686.932,463.461,664.871,468.528
7245573,8.032,4473,19.396,30,446.535,239.231,408.609,233.735
7317423,8.075,4931,6.451,30,450.201,182.237,413.274,179.501
7323195,8.000,6739,1.406,31,475.967,276.176,458.029,278.664
7323195,8.000,6739,1.406,33,461.699,265.831,444.167,267.826
7491381,9.990,5692,0.963,31,1659.275,1369.586,1738.831,1457.511
7491381,9.990,5692,0.963,32,2415.627,2008.170,2404.178,2020.487
7491381,9.990,5692,0.963,33,2587.779,2016.498,2535.763,1927.292
7493647,9.279,7394,2.109,32,3086.659,1213.860,3091.575,1209.397
7493647,9.279,7394,2.109,33,3032.346,1127.449,3023.905,1124.618
7586485,8.520,5801,1.113,31,1507.583,1620.237,1693.794,1644.791
7586485,8.520,5801,1.113,32,1368.439,1442.465,1421.259,1438.625
7586966,8.008,4730,11.252,31,524.257,340.618,494.132,339.727
7586966,8.008,4730,11.252,32,526.662,337.026,498.886,334.983
7623047,8.089,10020,2.086,31,391.874,75.309,366.967,68.006
7623047,8.089,10020,2.086,32,390.236,75.106,377.793,72.043
7625199,11.353,4012,0.565,31,2051.443,356.681,1930.572,348.164
7625199,11.353,4012,0.565,32,2157.412,454.229,2083.907,392.255
7647775,11.020,3362,0.497,31,5364.347,3176.584,5132.165,3127.638
7647775,11.020,3362,0.497,32,3550.655,2249.812,3298.543,2254.002
7649668,8.071,4572,12.297,31,552.574,335.657,516.197,325.928
7649668,8.071,4572,12.297,32,495.994,272.118,480.460,271.358
7722646,8.005,5228,3.060,31,396.821,91.729,366.915,85.428
7722646,8.005,5228,3.060,32,385.644,97.875,383.206,93.887
7723060,11.221,3199,0.220,31,2569.810,1399.771,2489.016,1393.790
7723060,11.221,3199,0.220,32,2605.645,1374.766,2602.341,1375.697
7780491,8.042,8006,2.402,31,1151.201,1210.041,1156.901,1220.498
7843830,12.458,3334,0.396,34,6540.021,3006.043,6580.908,3116.373
7890779,8.036,3962,50.005,34,442.573,97.426,610.120,189.374
7975441,14.381,0,0.000,34,35312.414,12304.501,34147.035,11533.888
7985934,8.055,4508,9.148,35,520.458,311.737,560.935,316.924
8112435,8.279,4920,9.977,27,661.407,422.279,684.187,427.566
8194633,8.020,4809,3.319,27,442.920,121.586,468.933,122.121
9006668,9.927,5029,0.766,29,1035.688,231.173,1190.524,245.949
9056576,9.168,4822,12.988,29,782.927,324.433,858.454,327.743
9058053,8.089,4570,16.545,29,591.725,356.667,577.888,333.949
9097661,8.062,6585,1.822,29,427.474,86.497,456.227,115.055
9149953,8.305,6394,2.898,32,455.954,96.602,549.483,192.624
9150015,4.905,6221,1.225,32,443.003,461.883,391.823,427.405
9166565,8.081,5006,10.164,29,621.117,331.778,602.502,335.534
9176012,9.951,9079,1.758,32,1867.203,324.453,1890.674,389.297
9179390,8.094,4758,9.871,29,592.383,336.234,573.711,323.104
9210746,8.728,3406,0.555,29,1706.015,1162.522,1667.467,1117.199
9266461,15.759,0,0.000,32,59943.262,10324.123,485544.354,88878.125
9268360,14.145,50000,0.147,32,19353.362,3729.747,19603.878,3622.890
9295107,8.038,5104,9.560,32,454.486,195.534,434.055,191.864
9354932,13.000,0,0.000,32,11522.699,2588.476,11517.441,2670.036
9358354,14.286,31000,0.180,32,19299.284,3999.489,19842.681,4816.710
9380488,8.258,7572,1.654,32,447.007,107.585,478.045,112.439
9708387,8.106,5841,1.397,29,809.819,747.032,776.322,639.023
9709881,9.736,5372,5.357,29,879.568,218.759,996.577,220.980
9761274,11.074,7526,1.210,29,3491.893,1281.467,3512.089,1268.705
9786384,8.465,4865,15.708,29,565.712,272.909,632.823,316.438
9791889,8.127,7017,1.826,29,661.100,494.089,664.318,491.838
9803255,9.899,7795,1.764,29,1587.510,367.303,1645.143,385.985
9805120,11.327,7358,1.602,31,6395.577,6260.809,6475.746,6264.218
9887662,4.575,7572,1.995,31,108.222,37.561,103.461,32.000
9899585,8.042,4939,10.537,31,524.794,352.882,533.665,362.867
9899967,5.765,0,0.000,31,4721.111,1090.895,3875.662,1627.156
9945024,13.443,3156,0.335,31,13222.500,6368.986,13121.241,6249.899
9964140,9.243,3550,0.475,31,1134.970,240.286,1488.968,514.736
9965534,8.085,5182,12.591,31,433.525,158.616,454.234,169.705
9967272,8.078,6781,2.035,31,393.649,86.811,402.012,97.449
10066435,8.121,6552,1.530,33,414.728,146.079,453.272,159.398
10785357,8.168,6621,2.436,30,488.181,119.516,546.890,126.400
10821149,8.059,3724,56.450,30,601.418,271.026,542.018,263.843
10838265,5.998,7558,1.964,30,3208.681,1214.534,3206.596,1233.820
10838592,8.028,4229,31.075,30,650.449,225.664,511.369,170.147
10863087,10.391,3296,0.405,30,13804.039,12158.201,13808.831,12213.165
10863225,10.264,3426,0.302,30,1255.105,240.891,1528.181,276.670
10932094,8.580,4814,10.020,31,716.189,428.089,707.614,414.597
10936296,8.000,7986,3.009,31,1114.336,1006.761,1132.600,1012.906
10938216,15.358,0,0.000,31,29833.974,5279.194,29316.636,6184.499
10958867,10.575,7496,1.979,31,2841.219,1133.248,2864.548,1168.623
10996609,8.901,4951,10.271,31,643.785,227.584,705.851,233.618
11046349,9.422,5410,1.119,31,1378.395,1227.808,1477.456,1224.615
11049041,8.373,4987,10.148,32,506.807,231.101,596.580,231.374
11053001,8.055,8279,1.580,32,884.302,129.048,907.199,115.267
11201507,8.017,6219,8.283,32,452.541,211.281,477.058,217.012
11289814,8.076,6608,2.079,32,417.258,121.813,449.298,129.291
11310083,4.413,6128,1.248,35,135.750,76.893,157.645,234.411
11488935,8.204,4544,20.503,30,501.044,257.500,490.294,275.233
11521555,9.098,6294,3.096,35,726.902,346.079,841.764,355.043
11521786,8.005,4634,18.380,35,503.466,317.768,522.090,293.213
11528274,8.753,4405,22.967,30,1221.173,1037.740,1210.345,1006.723
11529003,8.352,3772,59.824,30,532.041,243.100,463.330,156.157
11555687,9.799,5553,3.553,30,881.582,160.360,872.104,159.360
11569869,8.156,7143,2.797,30,445.902,137.790,438.956,144.770
11614297,10.658,3383,0.332,30,1558.491,436.663,1519.122,464.055
11614485,11.624,3309,0.366,30,8007.404,5576.779,7978.629,5621.937
11645994,14.739,0,0.000,30,21721.181,4046.217,21424.841,4074.116
11649826,8.353,0,0.000,30,408.131,84.051,389.429,75.214
11974826,11.005,3094,0.221,35,4623.642,3841.875,4670.900,3812.731
11974826,11.005,3094,0.221,36,5840.946,4853.763,5718.248,4788.911
