#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,471015288,,tess2021065132309-s0036-0000000471015288-0207-a_fast,156.184,-30.3501,3,59280.4067569444,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,471013582,,tess2021065132309-s0036-0000000471013582-0207-a_fast,91.12875,-71.42306,3,59280.4020761921,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,471013553,,tess2021065132309-s0036-0000000471013553-0207-a_fast,85.8925,-68.37278,3,59280.401963588,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,471013513,,tess2021065132309-s0036-0000000471013513-0207-a_fast,69.39208,-61.96189,3,59280.4012964583,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,469246567,,tess2021065132309-s0036-0000000469246567-0207-a_fast,148.722597071867,-58.6959350486112,3,59280.4045200694,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,469219698,,tess2021065132309-s0036-0000000469219698-0207-a_fast,148.459773217704,-59.769249046985,3,59280.4044230093,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,469166897,,tess2021065132309-s0036-0000000469166897-0207-a_fast,148.57462791133,-54.2551000295739,3,59280.4048917014,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,469162359,,tess2021065132309-s0036-0000000469162359-0207-a_fast,148.361824625035,-54.2893049412036,3,59280.4048847454,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,469009735,,tess2021065132309-s0036-0000000469009735-0207-a_fast,143.916298141538,-48.9206213326371,3,59280.4052073148,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,464296022,,tess2021065132309-s0036-0000000464296022-0207-a_fast,155.831687930156,-57.5903451121075,3,59280.4047159259,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,464254336,,tess2021065132309-s0036-0000000464254336-0207-a_fast,155.738763986757,-59.6788505749983,3,59280.4045295602,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,463755706,,tess2021065132309-s0036-0000000463755706-0207-a_fast,154.642727763809,-58.6320031017931,3,59280.4046105324,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,463402815,,tess2021065132309-s0036-0000000463402815-0207-a_fast,153.811142742113,-58.7664197888933,3,59280.4045886111,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,462662599,,tess2021065132309-s0036-0000000462662599-0207-a_fast,151.794495797708,-55.2410448457214,3,59280.4048652083,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461867584,,tess2021065132309-s0036-0000000461867584-0207-a_fast,149.688598679273,-58.7604704193104,3,59280.4045304051,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461605205,,tess2021065132309-s0036-0000000461605205-0207-a_fast,129.220386948194,-45.9381468062945,3,59280.404900081,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461164774,,tess2021065132309-s0036-0000000461164774-0207-a_fast,171.704643180121,-28.8161433061981,3,59280.4069136574,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461164368,,tess2021065132309-s0036-0000000461164368-0207-a_fast,171.788551946096,-29.6697773681461,3,59280.4068818981,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,461161884,,tess2021065132309-s0036-0000000461161884-0207-a_fast,171.594837920207,-24.5002165230717,3,59280.4071441898,20,59327,
