,period__0,t0__0,r__0,b__0,rho_star,ecs__0,ecs__1,u__0,u__1,sigma,sigma_gp,rho_gp,Q_gp,ecc,omega,aor__0,incl__0,rplanet__0,ror__0
0,6.268056848323398,2040.035526891068,0.019356731982727013,0.46031508917197994,1.0388798611918406,-0.4052247859756516,0.2072369271312552,0.22976318913657093,0.2738230433367574,1.5579244195334514e-05,7.011525530368342e-05,4.915546811113148,1.3308063760993571,0.2071542711358178,2.6688569672122786,12.922040186932861,1.5300547311209132,2.111362073404804,0.017052578038023104
1,6.267994913587211,2040.0359950288025,0.018571545892995017,0.11744983094360634,1.0481574866665109,0.08722705421453236,0.46658281188907613,0.4111167211720469,0.07366025643094198,1.4834784719300393e-05,8.532766694106663e-05,4.158217284902836,1.4255742422681736,0.22530807933726196,1.3859809980711555,12.960307252280442,1.559134788997837,2.025716824407995,0.01647264947903266
2,6.2677564686677805,2040.0368060093542,0.01935122516910979,0.5461747914440521,1.0351212005449855,0.03706138259941305,0.2454605886047241,0.3503698018678803,0.1368708579563293,1.742111615046481e-05,6.322937893263392e-05,5.167835781648936,1.0661424933113899,0.06162444663835769,1.4209411396412557,12.906025061452878,1.5257118562355845,2.1107614101612833,0.017115451977863978
3,6.267790608710979,2040.0369251957918,0.019367143611144177,0.4522262648689209,1.0407683552332738,0.30529271571365313,0.26040843322952856,0.39646588001316146,0.12778386714114193,1.8476334078899114e-05,6.05032668682714e-05,4.85508992831924,1.0310329540790253,0.16101619436487524,0.7062212861942005,12.929499279058382,1.5311265871801867,2.1124977360456882,0.01693407749773856
4,6.2678588432359525,2040.0363451811502,0.01949524420534307,0.5477076682579448,1.0452979974878882,-0.2286943212156718,0.1643970416224567,0.18814153690237145,0.32892474303641156,1.7093581312375956e-05,7.137331038096551e-05,4.455819630172345,1.3775874228882543,0.07932747985051262,2.51832701851701,12.948323404738247,1.526243231718797,2.126470483946187,0.01710214624086601
5,6.267957396391502,2040.0356636441843,0.019947949833158056,0.7194659116004132,1.0453359321835654,-0.09031179217255825,-0.3689800677903415,0.3894794627796516,0.11563613270815958,1.833393331170847e-05,3.8651985972393885e-05,4.141987180069715,1.332090510844713,0.14430251023198437,-1.810837767368205,12.948615768413498,1.521985821098257,2.175849970826431,0.01754879789185301
6,6.267849334640448,2040.035899415865,0.01945055069284183,0.4835946655590752,1.0593570576865865,-0.4530261743309246,0.13488361534181076,0.5246866455238711,-0.0710766900805922,1.6899315550948654e-05,8.26271631944584e-05,4.595868062564632,1.3367950847795167,0.22342630431659088,2.852211347721378,13.006102753624909,1.5291533565229722,2.1215954778084476,0.01711205016257934
7,6.267620555210543,2040.0374057652452,0.019725627624455802,0.5546983955363424,1.0502458243336399,0.37136633997934343,0.0770721584727842,0.44635840095609064,0.04232981115411516,1.550715317613966e-05,8.430903185444312e-05,4.7953109626435415,1.0634407846327274,0.14385307608130726,0.20463180794876512,12.96839248051722,1.525827470708041,2.151599871173845,0.017201011999515993
8,6.268104350819735,2040.0354661731296,0.019171875183702607,0.42587400669641834,1.0556609740327607,-0.33266159079890867,0.26763410952792616,0.09905662905122649,0.4119078521015926,1.4661679183320356e-05,3.819574573465088e-05,6.452862511055503,1.0118193110646918,0.18229175057566654,2.4640994825021036,12.991311451898735,1.5330044745850793,2.091198564666892,0.016797634820830937
9,6.267892318031739,2040.0359624553594,0.01889639045321436,0.3927150732103104,1.0447085616100007,-0.5385059218762702,0.1648141008497061,0.15670599490997283,0.42496228019443866,1.6332728843844655e-05,3.89337231379174e-05,5.981867585151136,1.0146532889306987,0.31715231573470876,2.8445872751101935,12.945935218998411,1.5339299726508604,2.061149690080311,0.01661347728502087
