name rp rpe p pe mstar mstarep mstarem rstar rstarep rstarem
Kepler-278c 	 3.31    0.12     	  51.0851 (35) 		  1.298  -0.076   +0.076  	  2.935  -0.066   +0.066  	  
Kepler-338b 	 2.58    0.13     	  13.72699 (47) 	  1.142  -0.084   +0.084  	  1.735  -0.082   +0.082  	  
Kepler-338c 	 2.48    0.14     	  24.31168 (87) 	  1.142  -0.084   +0.084  	  1.735  -0.082   +0.082  	  
Kepler-338d 	 2.66    0.15     	  44.4287 (16) 		  1.142  -0.084   +0.084  	  1.735  -0.082   +0.082  	  
Kepler-338e 	 1.587    0.083 	  9.34149 (40) 		  1.142  -0.084   +0.084  	  1.735  -0.082   +0.082  	  
Kepler-444b    	 0.381    0.021 	  3.600125 (28) 	  0.740  -0.010   +0.010  	  0.7492  -0.0040   +0.0046    
Kepler-444c 	 0.490    0.024 	  4.545817 (44) 	  0.740  -0.010   +0.010  	  0.7492  -0.0040   +0.0046    
Kepler-444d  	 0.530    0.025 	  6.189512 (54) 	  0.740  -0.010   +0.010  	  0.7492  -0.0040   +0.0046    
Kepler-444e  	 0.533    0.019 	  7.74350 (10) 		  0.740  -0.010   +0.010  	  0.7492  -0.0040   +0.0046    
Kepler-444f  	 0.679    0.008 	  9.740529 (36) 	  0.740  -0.010   +0.010  	  0.7492  -0.0040   +0.0046    	   
Kepler-449b 	 2.056    0.069 	  12.58242 (27) 	  0.969  -0.053   +0.053  	  1.467  -0.033   +0.033  	  
Kepler-449c 	 2.764    0.086 	  33.6727 (10) 		  0.969  -0.053   +0.053  	  1.467  -0.033   +0.033  	  
Kepler-450b    	 6.14    0.33 	      28.454851 (25) 	  1.346  -0.084   +0.084  	  1.570  -0.085   +0.085  	  
Kepler-450c    	 2.62    0.14  	  15.413135 (85) 	  1.346  -0.084   +0.084  	  1.570  -0.085   +0.085  	  
Kepler-450d    	 0.837    0.068 	  7.51464 (23) 		  1.346  -0.084   +0.084  	  1.570  -0.085   +0.085  	  
KOI-5b       	 7.87    0.14    	  4.78032767 (84) 	  1.199  -0.030   +0.020  	  1.795  -0.014   +0.015  	  
KOI-5c       	 0.642    0.061 	  7.05174 (13) 		  1.199  -0.030   +0.020  	  1.795  -0.014   +0.015  	  
TrES-2 	     13.21    0.28 	   2.47061340 (2)      	  0.97  +0.08   -0.08  	  0.96  +0.02   -0.02  	  
HAT-P-7 	 16.88    0.26 	   2.20473543 (3)      	  1.55  +0.10   -0.10  	  1.99  +0.03   -0.03  	  
HAT-P-11 	 4.887    0.065 	   4.88780240 (15)   	  0.86  +0.06   -0.06  	  0.76  +0.01   -0.01  	  
Kepler-4 	 4.22    0.12    	   3.21367134 (91)     	  1.09  +0.07   -0.07  	  1.55  +0.04   -0.04  	  
Kepler-410 	 2.786    0.045 	  17.833613 (47)      	  1.22  +0.07   -0.07  	  1.35  +0.02   -0.02  	  
Kepler-93 	 1.477    0.033 	   4.72673930 (86)     	  0.89  +0.07   -0.07  	  0.91  +0.02   -0.02  	  
K00075.01 	 10.72    0.29      105.88162 (75)      	  1.32  +0.07   -0.07  	  2.58  +0.07   -0.07  	  
