ticids,tmags,slow_2min,slow_2min_part1,slow_2min_part2,fast_2min,fast_2min_part1,fast_2min_part2
816939,8.03670025,409.0309650327113,376.7023928080649,441.44366917199665,359.7527973218758,355.8281045512763,363.7000595276809
820148,8.09399986,577.1935413173909,903.3834464732076,924.2892974991562,528.0896822526245,522.4454115327621,533.7439938815897
829147,8.21809959,463.9425262639276,475.813652970582,491.02079751583244,419.4054520317009,418.85712385495475,419.96226366570573
972858,8.78470039,660.5924802553224,705.7284438661145,739.6538652473107,616.6671895371406,617.9042670291948,615.3728609275722
1039707,8.01329994,528.05156727928,612.6246185328707,581.5763224568266,482.9465491294819,483.63671716182967,482.2352098554467
1107885,15.12510014,46880.331674761524,47267.083809635325,46661.28958310657,47395.54069265738,47187.18178353778,47606.2824893007
1141092,8.38549995,546.4886735132451,592.2577835547377,620.0576795047207,536.0038418897221,502.47026358099924,568.0747364865649
1407086,13.57429981,12453.269398746212,13225.181275961551,13909.336277556578,12571.55682509591,12211.026252174881,12927.159864574996
1605355,8.1548996,525.4778801396909,1200.5514924989143,1074.2090960825346,455.55121937867034,442.41370060768423,468.5316457501424
1677334,9.34350014,808.6841105768627,1143.8459008338868,1314.2807110621297,713.467009405176,702.6305316724203,724.3223120895876
6176523,7.47319984,335.0774034400995,330.0473822315964,361.4397513189146,294.4818239835802,289.47426159648194,299.4864265927146
6424046,8.38560009,504.77317509738896,521.2904086121024,546.5640473231589,459.0987966472273,456.8324269461933,461.39168767216813
6609005,13.28209972,30153.76354816433,36172.98096700279,33241.38666995076,30642.238821849205,31310.474645236092,29947.63797344969
6610653,10.21850014,1250.1196035368046,1292.0894057620517,1323.5569576282774,1169.6866467754928,1158.922690368889,1180.520865896088
6677245,5.38390017,205.7935465843142,172.8275218025837,235.24051104965355,112.0388259859357,110.1343726211184,113.94273812525238
6778185,8.00409031,415.21067245055286,397.933429243928,434.96279485241195,359.27758824350025,358.1680873538665,360.40206070799877
6871644,8.00214005,391.65218576481755,375.369360190393,414.72875308678977,336.23605604382044,336.3112810023302,336.15879916973665
6992156,12.39260006,4320.163649365094,4323.783101340906,4336.496811462158,4374.551344706784,4341.6322983628515,4407.732592325266
7020254,12.74619961,5733.506034748463,5571.21866895691,5953.269609824002,5714.567314165247,5587.067847852065,5841.435989334578
7032000,8.03689957,464.3642889343402,597.3744950005346,614.8072273728712,399.2607510577184,394.48515882842514,404.056545129287
7843830,12.45839977,6681.488174561142,9739.678091878079,7960.879569215651,6474.644677159018,7376.639573642231,5404.444464072752
7890779,8.03600025,444.05300698828,3781.60455419612,2866.2597473817823,514.2810378747437,463.32023943042736,561.3738772149413
7975441,14.3810997,34705.40911725276,17436.97590957319,45329.03115439799,34147.362371788025,17744.829288264922,45076.25954904467
13349647,12.21199989,4435.943241253864,4479.299377238288,4661.993381601269,4377.856877795102,4320.909307459769,4434.917258714521
13390495,8.0138998,556.4161875717381,640.4083586581322,642.4214013008216,505.729342812757,513.3035210778431,497.9096678124472
13741812,8.05140018,783.7121694298628,1381.14442192032,1591.5088436074632,363.59347039998147,362.5048948165057,364.69255073074186
13818381,8.00098038,396.54945953827246,377.3091941453268,415.5984766983006,342.8229323775199,339.5183299595492,346.15017569818923
16325702,8.45909977,487.5527930549835,476.49108675224346,502.976487143102,445.7979401056563,441.36321723935214,450.25986298065635
16489072,8.15480042,502.61944479043945,1927.895034395877,1151.9758678223743,457.79093064798747,432.1138525212931,482.49830626770256
17676722,8.61067963,2609.4354409282632,4660.1304102424365,4724.516583679697,2504.6491952277834,2489.032992973017,2520.4087532958038
17746821,11.31550026,2347.6726802014628,2419.5802739782516,2411.1241592779757,2307.830333564396,2311.7066935064854,2303.8839640964356
17817705,8.1789999,496.80186183013944,538.282294280067,588.7611123425588,465.5634524371305,476.6870494329377,453.97034710406285
17863112,8.29559994,591.0155672028296,767.4846927935836,773.1312000418463,545.3517135580984,521.8541680968516,568.2475174333837
18934976,10.9677,1854.1516751098138,1827.121871755449,1887.2800545274267,1831.5637590894544,1783.696203922721,1879.068949851014
18998800,10.4829998,1447.251613859961,1471.365989204522,1495.3897090928851,1408.9841558814753,1396.7357702449594,1421.3226274301837
19064309,8.09249973,558.9798816932326,642.731296468022,677.3330273702035,520.9067008318507,507.7187078200094,533.9828961256093
19117868,8.1704998,454.8140241262415,1245.7097418707583,1154.6427706359154,409.1949096837376,414.51376458614146,403.5649951245679
19341385,8.02999973,501.6541664960402,1253.5318266118554,1518.583436111582,449.9219674720709,384.2400990501648,508.03472751243373
19513176,8.16520023,1029.0067194144017,2092.418557672946,2269.573911004508,568.1320880962243,666.0485102912272,446.99481896796084
19946620,8.03339958,488.3545396329243,1154.0225336185292,1362.847332579685,387.94537757954936,385.07096016891245,390.79986460521707
21184505,8.80021,766.9689070960095,2424.6778345705566,1442.0152440422073,692.4553220105157,706.501840713346,677.8738170789103
21221785,11.90869999,3891.9446224730023,3815.839582140984,4053.864879503652,3736.762658876415,3669.968487379153,3803.4981500322124
22529346,10.05599976,4071.5632139052254,4419.439375550399,4413.384696692516,3955.320314337301,3935.6851233760017,3975.188484144451
22600633,5.28590012,118.53821459030148,121.13695591414385,128.8174577102744,90.7199261520745,90.01890202797505,91.42672115658767
22641187,15.63000011,278443.0310687102,281610.00881186436,277593.21707550366,274060.7766069808,275997.9956123282,272074.333295599
23026869,8.02900028,624.8430440043643,619.3187464747779,647.5586424786874,563.8071746211591,554.477831666245,573.1408643528856
23031858,8.02400017,1149.4999035722806,1038.9781205597167,1079.633644735962,1165.8102377489765,1159.0630712344118,1172.632621161036
25078597,11.75,2559.230822771911,2563.795475891092,2599.91337452068,2531.0650941957747,2521.4136523422144,2540.825200809637
25118964,12.03009987,8168.634548425171,13629.85482587456,13893.366475814191,7915.794470680585,7608.746539865715,8215.01415644063
25132314,8.02890015,544.3552759033231,856.2927715121799,1049.7237148905906,491.4868997098013,472.00459890998,510.50902234821575
25132999,10.81239986,1854.967435004352,2759.66257453513,2111.644510343923,3161.7038861299943,1932.9856241879042,4044.7884933577166
