ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
5394046,8.123,5081,12.193,35,463.854,224.548,427.446,218.451
5452928,15.667,0,0.000,35,46605.708,17225.341,45258.022,16606.045
5576756,8.074,5142,8.674,36,430.539,203.163,406.767,191.409
5624184,15.997,0,0.000,35,107351.673,20399.944,107448.880,19949.169
5624184,15.997,0,0.000,36,99425.681,15684.257,99660.127,17853.608
5640393,11.181,0,0.000,29,6281.824,4491.316,6337.586,4566.607
5656273,9.211,3815,0.587,29,28091.491,30658.550,28029.190,30142.293
5676537,9.320,4515,0.687,29,1264.265,1038.436,1473.039,1161.712
5678173,8.006,4931,10.486,29,497.037,285.435,462.087,283.314
5717323,8.107,4475,16.725,29,547.187,411.097,509.541,403.851
5724661,11.205,8379,1.721,29,2176.729,364.084,2061.495,372.921
5778313,8.001,4740,7.527,29,514.137,313.183,465.047,345.836
5796048,10.808,3621,0.559,29,12888.143,13826.367,13102.705,14154.264
6176523,7.473,6599,10.032,34,323.699,126.369,295.067,125.795
6424046,8.386,5214,9.968,34,491.514,196.932,455.282,214.474
6609005,13.282,0,0.000,34,30776.612,19867.957,30886.810,19578.192
6610653,10.219,5856,2.063,34,1172.228,238.069,1096.671,210.983
6677245,5.384,5938,1.633,34,184.870,42.197,112.937,35.083
6778185,8.004,5309,2.791,34,396.604,90.756,357.368,84.703
6871644,8.002,10144,3.698,34,374.689,66.631,335.894,57.882
6992156,12.393,5868,0.819,34,4334.106,767.272,4367.951,787.421
7020254,12.746,5742,0.856,34,5701.101,1023.148,5644.102,1055.403
7032000,8.037,5731,12.541,34,451.129,197.198,404.381,199.363
7148510,8.033,4679,13.420,29,590.974,373.761,518.202,386.354
7151484,9.880,3403,0.439,29,1441.845,574.803,1211.287,545.243
7220927,8.020,4862,9.735,29,631.492,498.716,598.353,527.127
7222624,8.627,4712,10.858,30,681.333,466.947,657.208,502.914
7245573,8.032,4473,19.396,30,433.190,227.022,396.781,220.748
7317423,8.075,4931,6.451,30,440.082,173.868,391.302,170.554
7323195,8.000,6739,1.406,31,458.110,272.003,429.566,256.980
7323195,8.000,6739,1.406,33,446.931,244.166,418.343,246.199
7491381,9.990,5692,0.963,31,1534.721,1463.230,1548.905,1498.225
7491381,9.990,5692,0.963,32,1786.708,1681.239,1754.586,1736.382
7491381,9.990,5692,0.963,33,1609.394,1314.680,1600.734,1441.579
7493647,9.279,7394,2.109,32,3116.853,1314.238,3099.312,1327.405
7493647,9.279,7394,2.109,33,3052.829,1051.426,3028.969,1051.779
7586485,8.520,5801,1.113,31,1640.765,1865.932,1685.436,1798.683
7586485,8.520,5801,1.113,32,1436.189,1561.232,1445.291,1505.073
7586966,8.008,4730,11.252,31,530.043,377.605,486.123,355.866
7586966,8.008,4730,11.252,32,523.150,327.146,467.124,330.946
7623047,8.089,10020,2.086,31,382.289,78.473,345.880,65.305
7623047,8.089,10020,2.086,32,375.572,72.022,341.638,62.212
7625199,11.353,4012,0.565,31,2037.281,348.885,1913.122,353.259
7625199,11.353,4012,0.565,32,2138.863,395.898,2021.021,395.014
7647775,11.020,3362,0.497,31,3289.219,2236.158,2954.827,2224.449
7647775,11.020,3362,0.497,32,3182.026,1901.368,2844.674,2019.873
7649668,8.071,4572,12.297,31,543.299,352.243,491.514,334.215
7649668,8.071,4572,12.297,32,489.393,290.826,449.273,287.070
7722646,8.005,5228,3.060,31,374.600,89.519,335.938,78.207
7722646,8.005,5228,3.060,32,372.214,97.472,347.117,88.723
7723060,11.221,3199,0.220,31,2466.229,1486.427,2419.570,1510.155
7723060,11.221,3199,0.220,32,2431.942,1164.628,2355.944,1227.724
7780491,8.042,8006,2.402,31,1292.588,1400.311,1271.821,1375.655
7843830,12.458,3334,0.396,34,5150.998,1635.640,5131.645,1615.403
7890779,8.036,3962,50.005,34,415.692,87.133,492.663,161.585
7975441,14.381,0,0.000,34,17788.258,9768.329,17474.191,9255.518
7985934,8.055,4508,9.148,35,514.181,335.011,476.844,328.383
8112435,8.279,4920,9.977,27,640.771,423.204,601.137,436.371
8194633,8.020,4809,3.319,27,430.008,126.899,384.498,106.221
9006668,9.927,5029,0.766,29,1016.741,235.594,927.001,196.005
9056576,9.168,4822,12.988,29,746.019,304.523,674.263,295.332
9058053,8.089,4570,16.545,29,576.879,351.889,505.653,330.680
9097661,8.062,6585,1.822,29,407.739,80.991,355.247,84.217
9149953,8.305,6394,2.898,32,431.466,98.267,403.939,93.142
9150015,4.905,6221,1.225,32,474.900,550.854,438.580,503.532
9166565,8.081,5006,10.164,29,603.567,338.369,498.583,331.697
9176012,9.951,9079,1.758,32,2092.424,357.368,2068.918,347.780
9179390,8.094,4758,9.871,29,574.051,326.085,481.440,316.674
9210746,8.728,3406,0.555,29,789.542,347.736,710.097,363.819
9266461,15.759,0,0.000,32,59888.511,10019.477,62750.992,10736.511
9268360,14.145,50000,0.147,32,18549.565,3543.990,18910.380,3296.907
9295107,8.038,5104,9.560,32,439.376,173.647,392.539,180.938
9354932,13.000,0,0.000,32,11228.555,2196.613,11314.185,2041.788
9358354,14.286,31000,0.180,32,19309.105,3577.570,19871.845,3989.021
9380488,8.258,7572,1.654,32,434.073,101.449,403.983,94.909
9708387,8.106,5841,1.397,29,693.881,624.378,665.603,602.020
9709881,9.736,5372,5.357,29,868.854,195.916,822.106,193.619
9761274,11.074,7526,1.210,29,3634.127,1399.471,3532.678,1345.433
9786384,8.465,4865,15.708,29,549.838,281.723,505.476,281.149
9791889,8.127,7017,1.826,29,665.603,498.672,614.525,496.374
9803255,9.899,7795,1.764,29,1615.757,383.393,1562.160,393.246
9805120,11.327,7358,1.602,31,7716.025,8739.084,7791.404,8782.208
9887662,4.575,7572,1.995,31,95.970,25.981,76.175,20.679
9899585,8.042,4939,10.537,31,507.906,351.359,483.914,338.987
9899967,5.765,0,0.000,31,2331.819,714.648,2891.466,1310.041
9945024,13.443,3156,0.335,31,10251.183,2082.041,10227.676,2141.028
9964140,9.243,3550,0.475,31,738.243,162.601,1211.111,418.520
9965534,8.085,5182,12.591,31,423.690,160.480,389.623,160.833
9967272,8.078,6781,2.035,31,386.795,83.598,359.312,85.100
10066435,8.121,6552,1.530,33,410.655,150.936,382.112,148.462
10785357,8.168,6621,2.436,30,463.368,119.167,378.842,101.272
10821149,8.059,3724,56.450,30,563.624,239.571,379.461,109.844
10838265,5.998,7558,1.964,30,3345.864,1314.680,3321.695,1341.059
10838592,8.028,4229,31.075,30,594.995,152.085,394.439,148.064
10863087,10.391,3296,0.405,30,4472.051,4252.187,4429.722,4404.006
10863225,10.264,3426,0.302,30,1242.305,220.704,1165.512,228.436
10932094,8.580,4814,10.020,31,707.313,455.724,624.422,425.060
10936296,8.000,7986,3.009,31,1116.731,1012.808,1096.804,993.279
10938216,15.358,0,0.000,31,28718.255,4906.655,28805.299,4942.710
10958867,10.575,7496,1.979,31,2867.694,1099.676,2852.583,1067.819
10996609,8.901,4951,10.271,31,621.241,231.706,584.037,230.115
11046349,9.422,5410,1.119,31,1215.838,965.265,1240.803,990.539
11049041,8.373,4987,10.148,32,500.351,225.520,460.584,226.404
11053001,8.055,8279,1.580,32,966.193,108.872,957.489,104.188
11201507,8.017,6219,8.283,32,440.480,203.604,412.865,209.835
11289814,8.076,6608,2.079,32,408.800,119.962,370.359,113.732
