ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
5394046,8.123,5081,12.193,35,477.188,229.744,428.313,217.155
5452928,15.667,0,0.000,35,46652.138,15525.619,46313.521,15091.788
5576756,8.074,5142,8.674,36,443.980,193.217,404.957,191.371
5624184,15.997,0,0.000,35,108037.859,20057.447,107563.473,20817.274
5624184,15.997,0,0.000,36,98598.622,17180.700,99507.712,18360.229
5640393,11.181,0,0.000,29,7585.441,5577.142,7575.298,5668.134
5656273,9.211,3815,0.587,29,33607.580,30845.171,33604.983,30581.113
5676537,9.320,4515,0.687,29,2592.053,2329.376,2583.717,2222.336
5678173,8.006,4931,10.486,29,504.794,299.429,458.661,291.988
5717323,8.107,4475,16.725,29,550.481,397.195,512.097,395.863
5724661,11.205,8379,1.721,29,2183.348,393.070,2101.348,385.935
5778313,8.001,4740,7.527,29,523.683,327.120,468.900,323.076
5796048,10.808,3621,0.559,29,12211.616,11954.792,12276.388,11968.895
6176523,7.473,6599,10.032,34,327.863,126.991,294.488,121.943
6424046,8.386,5214,9.968,34,501.445,207.406,459.101,209.358
6609005,13.282,0,0.000,34,30441.292,18325.450,30642.239,18704.763
6610653,10.219,5856,2.063,34,1238.383,527.415,1169.688,523.420
6677245,5.384,5938,1.633,34,201.905,48.139,112.045,32.026
6778185,8.004,5309,2.791,34,409.781,92.815,359.283,85.855
6871644,8.002,10144,3.698,34,384.441,65.662,336.241,61.091
6992156,12.393,5868,0.819,34,4303.247,815.843,4374.552,905.102
7020254,12.746,5742,0.856,34,5720.718,1509.894,5714.568,1481.707
7032000,8.037,5731,12.541,34,460.309,209.376,399.261,204.857
7148510,8.033,4679,13.420,29,604.983,402.589,519.671,407.158
7151484,9.880,3403,0.439,29,11643.478,7549.388,11600.208,6981.175
7220927,8.020,4862,9.735,29,636.627,504.511,594.180,497.149
7222624,8.627,4712,10.858,30,686.423,463.440,657.660,469.692
7245573,8.032,4473,19.396,30,445.200,239.239,397.954,232.836
7317423,8.075,4931,6.451,30,449.102,182.062,396.597,177.417
7323195,8.000,6739,1.406,31,470.339,275.714,429.515,275.201
7323195,8.000,6739,1.406,33,459.579,265.916,420.681,266.489
7491381,9.990,5692,0.963,31,1651.569,1367.768,1724.422,1457.157
7491381,9.990,5692,0.963,32,2400.917,2003.932,2392.250,2020.557
7491381,9.990,5692,0.963,33,2584.413,2014.850,2533.352,1929.149
7493647,9.279,7394,2.109,32,3086.020,1213.090,3080.982,1209.132
7493647,9.279,7394,2.109,33,3031.310,1126.890,3015.703,1121.250
7586485,8.520,5801,1.113,31,1507.224,1620.289,1686.776,1644.619
7586485,8.520,5801,1.113,32,1367.317,1442.692,1410.621,1438.314
7586966,8.008,4730,11.252,31,522.402,340.837,480.700,339.580
7586966,8.008,4730,11.252,32,524.937,337.659,477.186,333.351
7623047,8.089,10020,2.086,31,391.329,75.726,346.363,64.933
7623047,8.089,10020,2.086,32,386.987,74.381,345.343,66.416
7625199,11.353,4012,0.565,31,2051.443,356.681,1926.354,346.965
7625199,11.353,4012,0.565,32,2157.412,454.229,2040.644,388.317
7647775,11.020,3362,0.497,31,5342.397,3169.596,5104.299,3112.600
7647775,11.020,3362,0.497,32,3526.096,2243.276,3283.025,2253.999
7649668,8.071,4572,12.297,31,547.898,336.354,485.719,326.011
7649668,8.071,4572,12.297,32,492.232,271.472,443.227,270.653
7722646,8.005,5228,3.060,31,395.224,91.749,340.365,83.380
7722646,8.005,5228,3.060,32,384.576,97.760,350.653,89.765
7723060,11.221,3199,0.220,31,2547.013,1393.868,2474.756,1391.003
7723060,11.221,3199,0.220,32,2594.678,1371.791,2595.766,1373.378
7780491,8.042,8006,2.402,31,1150.434,1209.909,1144.234,1220.340
7843830,12.458,3334,0.396,34,6480.963,2968.560,6474.644,3116.252
7890779,8.036,3962,50.005,34,434.846,97.342,514.280,180.128
7975441,14.381,0,0.000,34,35249.889,12291.418,34147.363,11532.604
7985934,8.055,4508,9.148,35,516.428,311.994,477.931,314.943
8112435,8.279,4920,9.977,27,656.832,422.197,602.466,422.800
8194633,8.020,4809,3.319,27,441.018,121.640,387.706,115.621
9006668,9.927,5029,0.766,29,1035.688,231.173,948.321,201.345
9056576,9.168,4822,12.988,29,780.860,324.373,679.372,313.469
9058053,8.089,4570,16.545,29,588.822,357.868,507.298,335.972
9097661,8.062,6585,1.822,29,422.607,85.023,367.035,103.200
9149953,8.305,6394,2.898,32,451.972,96.189,418.359,103.076
9150015,4.905,6221,1.225,32,437.295,465.745,387.438,426.689
9166565,8.081,5006,10.164,29,618.200,331.732,491.245,331.490
9176012,9.951,9079,1.758,32,1867.203,324.453,1830.719,375.810
9179390,8.094,4758,9.871,29,591.045,336.175,488.507,323.788
9210746,8.728,3406,0.555,29,1697.701,1160.372,1614.543,1108.771
9266461,15.759,0,0.000,32,59595.395,10306.918,485558.629,88878.363
9268360,14.145,50000,0.147,32,18842.656,3614.627,19306.526,3570.731
9295107,8.038,5104,9.560,32,451.736,194.427,394.846,188.392
9354932,13.000,0,0.000,32,11370.377,2418.214,11518.802,2669.991
9358354,14.286,31000,0.180,32,19252.270,3984.058,19842.770,4816.889
