ticids,tmags,slow_2min,slow_1hr,fast_2min,fast_1hr,n20s/n2m
2670610,11.54389954,2819.0604923438905,552.0633737298879,2809.014099557924,552.6552481348741,5.8170441001191895
8112435,8.2791996,656.8379687409092,421.2033349238431,603.4497765793353,424.54549780216024,7.08984258984259
8194633,8.01990032,440.98370911095304,119.53947611865003,388.80248861048005,116.25854630983139,5.739166716337843
12723842,8.01130009,509.7644963462588,314.2204214743483,423.6884894594842,165.19640014798225,6.417363715027401
24705240,8.00769997,474.4690853023003,122.64487435811715,359.74082049837705,99.16194108701997,5.612292989461282
24706089,8.00220013,544.577145772915,356.87480533586495,492.12552449438795,348.7451735734697,5.701082874311467
24706893,8.20600033,548.3843175747512,282.2552722415997,474.60533778339504,288.01235638368325,2.7079279392379636
25132314,8.02890015,549.4218701673566,330.19581489204836,515.8543250831952,331.4162575188997,5.750117440731578
25133286,13.58250046,10066634.756880151,35395636.0137559,76268.10051281386,46928.79219063175,5.829423112825938
25155310,10.61030006,1732.176928554923,993.360487692578,1760.2909105493168,1006.6405871681889,5.730900642339757
25230545,8.39999962,551.5688027071881,254.03321706181347,497.03689330072694,247.36785543916798,6.3889689978370585
25247445,8.27873993,489.24264521910123,203.20374070599033,442.26435418388354,195.95628832965767,6.380821917808219
25300088,13.25599957,8690.818932015518,1712.040280798101,8820.004096307464,2207.5978200672657,5.897289894767191
25375915,8.18620014,536.3607774994471,297.4246156464807,485.09404413561936,295.69763266603957,6.37651384083045
29284027,8.14669991,544.54000936201,346.7193993335554,520.7162835052947,351.3155115465917,6.4019142199194015
29344935,13.23659992,8657.387809678847,2816.2065433246835,8638.930821273383,2788.0938210566915,6.076192531836822
29433169,8.39929962,607.2382935109619,367.78906129909967,520.4019056693926,220.6783010106085,6.392343120322395
29495056,8.14890003,553.0155033650465,381.44883278654805,547.5857155256649,403.75036342126094,6.369091301532484
29634122,8.05809975,459.72804785284626,231.09682790758472,404.7388495120754,177.44471837156883,6.349355976109952
29781292,8.93869972,603.2573283329929,114.41591451570167,564.6176265009391,119.78296995868628,5.745648090169067
29821374,15.4090004,59185.43055467704,10725.58408294652,62956.195514281375,12288.478394406293,5.839224546315866
29821613,8.22095966,1550.0068036514692,418.9203834100943,1548.385598338674,428.3165226782564,6.393697388301317
29831118,8.06159973,582.293409053437,389.2205182339131,528.1427113504326,379.34749568169656,5.7533427274150615
29840077,15.6260004,70969.34864442503,12276.92104997118,71647.89004011093,13194.371360772213,5.837779066396057
29857954,10.73789978,1561.2464881414942,465.90942048261076,1529.379879369572,463.61201275262346,5.79917695473251
