ticids,tmags,slow_2min,slow_1hr,fast_2min,fast_1hr
2670610,11.54389954,2849.9318091157475,529.9547615276632,2729.6744576923843,469.6974962103097
8112435,8.2791996,720.2153254044448,422.93871747063463,595.7654889361414,448.11817764410245
8194633,8.01990032,432.8361550712847,127.51787908694646,380.1740251474186,117.51015922344543
12723842,8.01130009,1772.878510216438,143.33610525227107,405.7838745693681,106.63732832157378
24705240,8.00769997,465.0028272733973,109.75551339292275,347.2639996030142,95.90930953486323
24706089,8.00220013,632.7290466129846,333.95014904336153,496.99851496411793,367.0294073827315
24706893,8.20600033,604.5390234468474,280.04446211124974,451.6308394763026,266.58478418542273
25132314,8.02890015,1114.522169816056,375.8375188889697,512.2098468254666,382.50471183129775
25133286,13.58250046,970581.348800381,78817.53737294796,66402.75847708664,39705.5545933042
25155310,10.61030006,1436.6307417300684,305.6717558986472,1455.7163983854407,320.32932998285514
25230545,8.39999962,594.9950657605062,250.66144423431996,475.37839588367325,236.31000524366783
25247445,8.27873993,491.1603409322582,201.39518117751282,435.475121928491,200.53570532378492
25300088,13.25599957,8727.242344330327,1483.687755322445,8727.613339304793,1661.773431552086
25375915,8.18620014,573.609530944816,303.55087641279357,473.6296360718026,302.7279208298737
29284027,8.14669991,738.3311710127773,337.4849481864508,514.8008273183964,319.63936433024634
29344935,13.23659992,8649.697688128803,1923.1074737977333,8449.328005823032,1764.6716914861797
29433169,8.39929962,1103.2991825367476,231.44097389377188,465.4558538978209,162.56634890870316
29495056,8.14890003,692.5113371204824,363.02387199527107,545.9962338672797,412.9496664173168
29634122,8.05809975,1072.3255050454277,168.60991912535957,391.5910805179939,166.19330333280388
29781292,8.93869972,586.6441027849578,104.54168465686604,536.181537469175,97.23530524700922
29821374,15.4090004,57818.930508458114,10883.646561571952,60586.524913190115,11256.317661895442
29821613,8.22095966,1577.5808575607543,375.04218908177467,1557.4940242715431,391.073186720794
29831118,8.06159973,718.1828158971683,388.474425825514,495.2439486915789,336.5321937549334
29840077,15.6260004,70541.07028934009,11814.53591590452,70098.64753846714,11954.572186972226
29857954,10.73789978,1571.4833290389254,310.178624806086,1471.2253812631754,297.06115821565754
29986479,8.00660038,567.1585225086781,310.4437347418177,450.00239318514446,293.63221375994596
30037565,9.59700012,853.1237731846024,176.65158717588773,790.9084806647962,139.12588353793973
30312676,11.30290031,5133.058575637126,1021.7336923099618,1685.1361143362763,472.94752857232714
30316134,11.06869984,4842.321346118031,987.1810306862641,4782.830622986837,805.6054703636573
30421442,8.03030014,380.5653127428517,72.81686234763956,337.6504032669658,62.605413408986486
30631031,7.27710009,895.8064728374057,546.7008724680487,823.0616678790586,499.5489368500101
30853028,8.11369991,668.4305179581864,427.18047644234184,555.6102767325967,421.58664013519183
30853470,11.30420017,2173.5479930856104,398.6369733618957,2073.4135564681333,438.01209887327275
30900417,8.05490017,487.0069519391282,201.5719211346673,415.4150318664642,209.85543205823134
31189268,12.83650017,7668.393261017926,1375.213606618892,7210.739719976249,1248.0734683176015
31266926,9.63920021,848.7052742557407,150.27314857058386,815.4920093293463,160.86117757010913
31381302,12.48840046,8090.890128595674,7072.42612549307,8233.154959001127,6998.404926138844
31511890,8.04529953,669.756067636845,375.7049639211039,515.3423031551611,351.02990300283227
31553893,9.3781004,834.4777077048063,163.13098045357117,739.3908172799248,164.13790747940004
31560152,8.03559971,1288.257547698895,130.78756829430407,522.718155939756,171.46742642472847
31655134,8.36769962,676.0303361158285,327.05729071433746,531.1973231177801,355.075141924635
31674330,11.57740021,2252.1972740193473,405.5298316909199,2206.9778495871997,397.5231392188776
31705248,8.07719994,413.35057479500495,150.4057035384497,401.74201903188197,148.37172485573933
31814318,8.01729965,369.2981404742545,74.93774183349315,325.74910845104984,57.89270768237079
31852980,9.85420036,907.2062000738687,159.50781133190463,804.7662444905229,146.58022479683552
31942864,8.4762001,1430.2681032725077,214.56230798552048,477.23811133864405,218.32212130718113
31946252,8.46459961,635.2034060131472,301.16488699120833,544.7353693065802,330.40449283321954
31959467,13.83100033,20548.31763864956,3906.483272985139,19831.32620837925,3635.062302594813
32000460,8.45349979,489.48131133929064,92.25825763463071,415.00664916598544,73.93053290796085
32036692,8.16180038,604.008803575384,296.83475804092393,451.87112681995563,277.4029793674798
32068755,14.8920002,32834.57250019935,6025.109324385,23063.40817975914,4735.817041872201
32072326,8.8465004,744.7379944596267,446.0032818792924,650.0616985595891,414.81726107347885
32090583,13.32919979,11213.178211686452,2287.9429303538377,8859.675656132722,1944.127052622635
33716446,16.27300072,111604.92030458707,19152.60219700075,95451.1981141965,17739.0004437004
33834484,14.11299992,15049.584091659846,3637.617613163909,15222.775869238094,3535.991824872105
33836359,8.08230019,2391.2032503213336,1509.226679131265,2401.690408156521,1428.3176384101791
33840009,15.75409985,62945.58226064839,11165.546793233325,58901.167276766726,11474.970719077764
33864387,11.40019989,18813.791699135643,639.57771995272,2614.1829781613505,992.1771640874421
33866571,8.38560009,728.3453634335501,497.6113493683961,635.2380690945739,481.34929449398237
33878688,11.17619991,1937.776890241554,362.0959872202101,1794.7896345625948,336.72818466466805
34520844,14.60599995,27159.7617708945,4774.541572549294,26633.63625088264,4681.771848323216
34721929,8.01609993,470.3933959666085,195.0325427199521,391.33287698796454,191.80766613605118
38460940,13.10179996,6063.064230183921,1128.6613663884134,6881.449370177337,1245.5156093607181
38469560,8.04669952,439.6848284110202,148.99178388121396,364.98573192954035,134.7945699852244
38509907,11.97550011,2792.8448029548554,512.6784307158143,5903.767791893544,1015.9412914885241
38515329,8.01739979,566.9817825515236,300.28118720543597,458.0989236417014,311.2538947399804
38571020,10.18050003,1119.82436853069,204.66487038487043,1063.4803416907862,208.52164797379277
38583513,14.25479984,19180.350370274,3553.268468611941,16660.39038181661,2971.6749197699864
38586127,9.78789997,864.6118703996426,141.39196572357199,792.5399684644867,138.95669708927608
38586438,11.67039967,7451.886813503706,2728.6881985077844,4104.242962040169,2881.0405613745784
38632722,8.18519974,730.554612897981,447.41720153652807,590.1235979663612,455.70688243626444
38633493,8.02530003,972.2465043067118,202.19051098470794,378.04088043585483,172.08905091059543
38696105,10.50409985,1238.416879781336,208.1996695279597,1237.5041830289601,252.88343125573752
38736839,8.09049988,1047.3609860973593,389.75579051488387,512.9154145850993,397.5702773240726
38811498,8.02299976,386.2651763610832,78.29580101942797,326.52262170685464,56.8594820015914
38823638,8.08920002,647.2217230996507,380.07927786067694,523.6435594916054,385.3217370060721
38827910,9.7510004,8331.742505207922,753.7959172637931,1212.3208667125105,932.7864834294618
38833347,8.40740013,1385.3761541552735,291.6209293048672,417.2544206084505,101.53699177403767
38846515,10.31569958,1313.8848414862925,302.93228656275295,1320.5869961551148,318.3168713295854
38906005,9.60459995,830.6777986259854,140.19897101277934,768.2816066868571,141.9407903472571
38952079,8.18159962,1077.230038856464,197.94875201300076,416.3579161428424,208.7306771379205
38954456,8.15839958,2214.0656282632713,2365.13410664105,2354.553571087601,2292.1576218930027
39015747,8.03450012,956.6933880771188,300.10444724828153,453.2982068536111,307.33979866764014
39070579,8.07820034,716.1061214006035,438.4034637216503,556.7495162375529,440.20447715907403
39080180,8.28289986,530.9268312920128,176.20973728300154,419.31168250879364,173.37809388337175
40898510,13.01220036,12968.82457608033,2621.2303045578697,11936.271847805285,2619.133316617988
