ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
5362024,8.710,3588,0.467,35,2036.905,1795.140,1795.140,1747.816
5392904,15.818,0,0.000,35,159241.747,159068.020,159068.020,159068.020
5394046,8.123,5081,12.193,35,1206.891,977.784,977.784,923.474
5452928,15.667,0,0.000,35,107793.842,107757.541,107757.541,107757.541
5576756,8.074,5142,8.674,36,1123.248,908.358,908.358,861.701
5624184,15.997,0,0.000,35,257345.718,256688.826,256688.826,256688.826
5624184,15.997,0,0.000,36,240418.611,240339.902,240339.902,240339.902
5640393,11.181,0,0.000,29,12971.776,12320.257,12320.257,12277.576
5656273,9.211,3815,0.587,29,33720.144,34091.081,34091.081,33912.798
5676537,9.320,4515,0.687,29,3660.847,3474.268,3474.268,3418.456
5678173,8.006,4931,10.486,29,1099.583,950.167,950.167,894.128
5717323,8.107,4475,16.725,29,1158.234,985.659,985.659,947.269
5724661,11.205,8379,1.721,29,5266.948,4721.702,4721.702,4667.384
5778313,8.001,4740,7.527,29,1057.245,933.245,933.245,886.734
5796048,10.808,3621,0.559,29,14713.535,14573.063,14573.063,14520.084
6176523,7.473,6599,10.032,34,733.496,666.070,666.070,655.838
6424046,8.386,5214,9.968,34,1154.533,1035.744,1035.744,1008.904
6609005,13.282,0,0.000,34,36748.202,36502.504,36502.504,36500.092
6610653,10.219,5856,2.063,34,2785.138,2613.068,2613.068,2601.121
6677245,5.384,5938,1.633,34,268.801,245.958,245.958,244.208
6778185,8.004,5309,2.791,34,965.942,847.795,847.795,832.601
6871644,8.002,10144,3.698,34,990.810,862.489,862.489,807.842
6992156,12.393,5868,0.819,34,10716.165,10546.924,10546.924,10531.196
7020254,12.746,5742,0.856,34,13819.292,13630.168,13630.168,13608.009
7032000,8.037,5731,12.541,34,980.144,880.435,880.435,866.796
7148510,8.033,4679,13.420,29,1036.479,910.468,910.468,907.995
7151484,9.880,3403,0.439,29,11858.333,11655.199,11655.199,11365.777
7220927,8.020,4862,9.735,29,1023.014,954.486,954.486,949.426
7222624,8.627,4712,10.858,30,1291.990,1237.807,1237.807,1237.286
7245573,8.032,4473,19.396,30,891.109,845.147,845.147,841.344
7317423,8.075,4931,6.451,30,915.286,841.112,841.112,838.938
7323195,8.000,6739,1.406,31,945.758,836.975,836.975,832.833
7323195,8.000,6739,1.406,33,929.924,833.541,833.541,828.985
7491381,9.990,5692,0.963,31,2702.595,2615.804,2615.804,2613.706
7491381,9.990,5692,0.963,32,3230.465,3182.711,3182.711,3181.933
7491381,9.990,5692,0.963,33,3232.436,3182.465,3182.465,3182.114
7493647,9.279,7394,2.109,32,3461.059,3426.113,3426.113,3417.340
7493647,9.279,7394,2.109,33,3396.052,3372.156,3372.156,3356.644
7586485,8.520,5801,1.113,31,1992.317,2014.058,2014.058,2011.329
7586485,8.520,5801,1.113,32,1782.302,1787.007,1787.007,1782.927
7586966,8.008,4730,11.252,31,933.197,867.544,867.544,863.712
7586966,8.008,4730,11.252,32,963.490,877.655,877.655,868.063
7623047,8.089,10020,2.086,31,905.230,818.402,818.402,816.561
7623047,8.089,10020,2.086,32,937.789,829.435,829.435,820.556
7625199,11.353,4012,0.565,31,4757.099,4675.546,4675.546,4673.800
7625199,11.353,4012,0.565,32,5046.679,4959.856,4959.856,4870.705
7647775,11.020,3362,0.497,31,7069.359,6991.318,6991.318,6951.725
7647775,11.020,3362,0.497,32,5844.232,5801.161,5801.161,5765.674
7649668,8.071,4572,12.297,31,1023.706,911.366,911.366,902.061
7649668,8.071,4572,12.297,32,1023.773,893.176,893.176,878.094
7722646,8.005,5228,3.060,31,876.124,781.916,781.916,779.153
7722646,8.005,5228,3.060,32,923.254,816.477,816.477,807.827
7723060,11.221,3199,0.220,31,5062.999,4932.613,4932.613,4928.947
7723060,11.221,3199,0.220,32,5306.588,5202.398,5202.398,5200.314
7780491,8.042,8006,2.402,31,1428.892,1433.526,1433.526,1429.578
7843830,12.458,3334,0.396,34,12846.836,12268.521,12268.521,12204.765
7890779,8.036,3962,50.005,34,1426.078,1183.042,1183.042,1157.453
7975441,14.381,0,0.000,34,52919.229,50179.179,50179.179,50179.179
7985934,8.055,4508,9.148,35,1178.379,999.080,999.080,916.780
8112435,8.279,4920,9.977,27,1340.575,1091.854,1091.854,1059.917
8194633,8.020,4809,3.319,27,1099.606,883.153,883.153,856.728
9006668,9.927,5029,0.766,29,2909.291,2433.263,2433.263,2242.854
9056576,9.168,4822,12.988,29,1985.882,1508.522,1508.522,1478.696
9058053,8.089,4570,16.545,29,1188.409,977.170,977.170,942.922
9097661,8.062,6585,1.822,29,1086.795,910.603,910.603,855.280
9149953,8.305,6394,2.898,32,1319.273,1029.845,1029.845,969.679
9150015,4.905,6221,1.225,32,446.750,450.280,450.280,446.767
9166565,8.081,5006,10.164,29,1248.870,950.872,950.872,916.575
9176012,9.951,9079,1.758,32,3049.398,2823.392,2823.392,2773.188
9179390,8.094,4758,9.871,29,1199.404,956.732,956.732,924.996
9210746,8.728,3406,0.555,29,2266.633,2015.116,2015.116,1994.930
9266461,15.759,0,0.000,32,1157913.255,1178002.648,1178002.648,1178002.648
9268360,14.145,50000,0.147,32,46677.912,46542.263,46542.263,46107.997
9295107,8.038,5104,9.560,32,966.070,865.069,865.069,849.432
9354932,13.000,0,0.000,32,27273.638,27127.656,27127.656,27127.656
9358354,14.286,31000,0.180,32,46329.431,46290.792,46290.792,46290.792
9380488,8.258,7572,1.654,32,1116.042,947.898,947.898,918.249
9708387,8.106,5841,1.397,29,1332.164,1139.329,1139.329,1092.109
9709881,9.736,5372,5.357,29,2410.493,2119.930,2119.930,1964.415
9761274,11.074,7526,1.210,29,5521.765,5194.663,5194.663,5116.099
9786384,8.465,4865,15.708,29,1374.140,1169.032,1169.032,1096.282
9791889,8.127,7017,1.826,29,1188.234,1069.533,1069.533,1008.585
9803255,9.899,7795,1.764,29,2892.313,2638.661,2638.661,2514.810
9805120,11.327,7358,1.602,31,8002.216,7945.765,7945.765,7923.771
9887662,4.575,7572,1.995,31,204.974,181.482,181.482,179.733
9899585,8.042,4939,10.537,31,1031.846,913.942,913.942,901.550
9899967,5.765,0,0.000,31,7654.963,7525.955,7525.955,6855.315
9945024,13.443,3156,0.335,31,25825.914,25801.204,25801.204,25727.572
9964140,9.243,3550,0.475,31,3141.200,2938.018,2938.018,2850.950
9965534,8.085,5182,12.591,31,1047.067,893.374,893.374,871.313
9967272,8.078,6781,2.035,31,965.580,861.339,861.339,839.180
10066435,8.121,6552,1.530,33,1060.082,925.558,925.558,882.693
10785357,8.168,6621,2.436,30,1304.253,938.480,938.480,894.501
10821149,8.059,3724,56.450,30,1226.147,956.091,956.091,916.195
10838265,5.998,7558,1.964,30,3234.926,3197.700,3197.700,3193.935
10838592,8.028,4229,31.075,30,1202.849,928.659,928.659,883.058
10863087,10.391,3296,0.405,30,14354.092,14271.078,14271.078,14212.854
10863225,10.264,3426,0.302,30,3780.940,2826.311,2826.311,2766.352
10932094,8.580,4814,10.020,31,1478.117,1211.166,1211.166,1190.198
10936296,8.000,7986,3.009,31,1496.175,1379.941,1379.941,1350.805
10938216,15.358,0,0.000,31,70154.853,70140.023,70140.023,70140.023
10958867,10.575,7496,1.979,31,4301.674,4044.681,4044.681,4024.880
10996609,8.901,4951,10.271,31,1676.053,1370.413,1370.413,1336.468
11046349,9.422,5410,1.119,31,2572.610,2291.818,2291.818,2242.559
11049041,8.373,4987,10.148,32,1335.360,1111.084,1111.084,1051.976
11053001,8.055,8279,1.580,32,1351.243,1182.943,1182.943,1158.465
11201507,8.017,6219,8.283,32,1053.635,921.907,921.907,870.982
11289814,8.076,6608,2.079,32,1065.424,923.405,923.405,860.464
11310083,4.413,6128,1.248,35,280.741,262.479,262.479,246.538
11488935,8.204,4544,20.503,30,1062.999,932.372,932.372,924.187
11521555,9.098,6294,3.096,35,1920.139,1519.490,1519.490,1447.242
11521786,8.005,4634,18.380,35,1129.805,915.543,915.543,880.550
11528274,8.753,4405,22.967,30,1819.856,1607.946,1607.946,1577.846
11529003,8.352,3772,59.824,30,1120.734,997.810,997.810,992.276
11555687,9.799,5553,3.553,30,2161.425,1999.713,1999.713,1991.630
11569869,8.156,7143,2.797,30,998.245,881.736,881.736,874.018
11614297,10.658,3383,0.332,30,3472.652,3319.594,3319.594,3301.210
11614485,11.624,3309,0.366,30,9873.799,9871.894,9871.894,9869.633
11645994,14.739,0,0.000,30,51931.509,51877.754,51877.754,51877.754
11649826,8.353,0,0.000,30,947.272,859.216,859.216,845.969
11974826,11.005,3094,0.221,35,6641.840,6110.773,6110.773,6038.956
11974826,11.005,3094,0.221,36,7215.322,7058.170,7058.170,7054.394
12013892,8.095,4479,20.383,35,1287.931,1017.365,1017.365,930.263
12359032,11.588,5471,0.901,29,6474.712,6292.081,6292.081,6281.046
12378718,14.079,40975,0.131,29,35921.947,35941.183,35941.183,35941.183
12393800,10.740,5571,1.313,29,7133.348,7184.194,7184.194,7178.180
12395214,14.126,37500,0.127,29,39449.286,39378.080,39378.080,39378.080
12395634,8.064,6275,2.197,29,1050.946,865.007,865.007,838.797
12421477,11.701,3461,0.582,29,9640.015,9344.427,9344.427,9306.558
12421862,9.928,3782,0.447,29,2702.813,2420.321,2420.321,2383.193
12423805,12.722,38000,0.658,29,14035.914,13933.773,13933.773,13933.773
12433577,8.159,4780,8.143,29,1148.602,981.841,981.841,953.381
12473170,8.748,6966,2.582,29,2484.251,2349.092,2349.092,2337.483
12474920,11.488,3509,0.454,29,5900.048,5725.863,5725.863,5719.811
12511303,10.528,7768,2.733,31,6019.682,5875.888,5875.888,5866.479
12532010,8.233,4981,10.502,31,1496.163,1375.723,1375.723,1014.584
12549312,13.451,37400,0.160,31,20669.236,20617.758,20617.758,20617.758
12723842,8.011,4005,43.150,28,1223.078,1031.048,1031.048,965.831
12862728,8.863,0,0.000,29,3553.558,2811.865,2811.865,2744.984
12865353,8.016,4890,2.391,29,1164.361,947.745,947.745,881.592
12878505,8.118,4908,10.849,29,1240.017,1023.184,1023.184,957.347
12968953,10.094,7883,2.424,29,3034.385,2506.688,2506.688,2444.459
12969617,8.094,4712,10.054,29,1210.454,995.141,995.141,949.936
12972937,8.338,6383,1.564,29,1414.243,1073.835,1073.835,995.771
13021029,11.723,6245,1.433,32,6406.970,6348.357,6348.357,6347.042
13069774,11.931,34000,0.143,32,8857.456,8800.654,8800.654,8800.654
13072717,14.318,0,0.000,32,39497.415,39447.085,39447.085,39447.085
13072758,12.224,6313,1.431,32,9218.406,9177.226,9177.226,9177.226
13074467,8.396,4918,9.816,29,1606.078,1290.242,1290.242,1259.614
13133610,16.226,0,0.000,32,210408.387,210298.732,210298.732,210298.732
13203779,8.036,5129,9.597,32,916.277,842.915,842.915,839.012
13205578,8.143,4585,8.817,32,990.412,923.148,923.148,921.367
13273388,8.077,4509,12.976,32,977.745,914.508,914.508,911.502
13344668,12.673,4469,0.700,32,13035.478,12956.672,12956.672,12956.672
13349647,12.212,5928,0.960,34,8359.674,8245.628,8245.628,8241.364
13390495,8.014,4813,10.625,34,1107.041,914.813,914.813,884.166
13741812,8.051,4019,45.402,34,1051.250,901.364,901.364,855.546
13818381,8.001,8233,1.872,34,994.386,852.760,852.760,819.311
13934072,8.132,4972,9.485,31,1015.909,884.632,884.632,880.495
13934072,8.132,4972,9.485,32,957.482,872.878,872.878,869.349
13955147,8.738,5701,1.006,31,1606.684,1460.359,1460.359,1450.620
13955147,8.738,5701,1.006,32,1482.179,1377.696,1377.696,1374.402
14001734,11.739,3304,0.439,32,13469.473,13185.855,13185.855,13180.603
14161523,8.339,4593,17.024,32,1146.666,1058.512,1058.512,1057.083
14164720,8.074,4828,10.450,31,1089.586,980.308,980.308,970.157
14164720,8.074,4828,10.450,32,1051.998,943.367,943.367,936.340
14164726,14.935,31000,0.180,32,63777.641,63750.341,63750.341,63750.341
14342679,8.316,4754,6.029,35,1354.302,1155.765,1155.765,1032.578
14344979,12.335,5425,0.916,35,10770.713,10594.261,10594.261,10571.445
14564874,8.014,4131,28.953,33,1014.752,907.462,907.462,864.726
14609933,8.257,9036,1.942,33,1049.352,947.030,947.030,919.885
14614418,13.390,5670,1.017,36,19000.839,18955.087,18955.087,18955.087
14661418,12.481,4724,0.793,36,9974.945,9834.965,9834.965,9834.965
14680532,12.805,31000,0.180,36,13412.832,13344.944,13344.944,13342.171
14715718,14.339,2841,0.140,36,43888.999,43847.483,43847.483,43847.483
14717912,14.307,41381,0.147,36,41926.447,41877.699,41877.699,41855.570
16325702,8.459,5718,1.130,34,1380.713,1145.125,1145.125,1055.425
16489072,8.155,4006,38.490,34,1342.723,1138.533,1138.533,1071.729
17676722,8.611,8321,1.842,34,2886.296,2855.618,2855.618,2815.699
17684976,8.011,9745,3.508,35,1139.443,889.703,889.703,836.635
17746821,11.316,6322,1.730,34,5543.520,5138.091,5138.091,5097.841
17817705,8.179,4869,10.920,34,1204.340,1020.020,1020.020,950.679
17863112,8.296,4616,17.690,34,1302.743,1144.374,1144.374,1035.145
17897279,15.653,0,0.000,35,194141.943,194175.655,194175.655,194175.655
18786687,8.038,4242,42.969,35,1265.821,970.870,970.870,920.946
18930259,8.169,4948,10.891,35,1386.249,1044.037,1044.037,974.797
18934976,10.968,3351,0.344,34,4570.591,4347.835,4347.835,4324.087
18998800,10.483,3482,0.425,34,3891.908,3409.727,3409.727,3320.606
