ticids,tmags,teff,rad,sec,slow_2min,slow_1hr,fast_2min,fast_1hr
5394046,8.123,5081,12.193,35,477.188,229.744,432.210,216.939
5452928,15.667,0,0.000,35,46652.138,15525.619,45925.800,15125.642
5576756,8.074,5142,8.674,36,443.980,193.217,408.104,192.491
5624184,15.997,0,0.000,35,108037.859,20057.447,106148.392,20405.592
5624184,15.997,0,0.000,36,98598.622,17180.700,98596.685,18144.852
5640393,11.181,0,0.000,29,7585.441,5577.142,7624.067,5662.836
5656273,9.211,3815,0.587,29,33607.580,30845.171,33591.937,30639.524
5676537,9.320,4515,0.687,29,2592.053,2329.376,2611.005,2222.432
5678173,8.006,4931,10.486,29,504.794,299.429,460.118,292.460
5717323,8.107,4475,16.725,29,550.481,397.195,523.498,396.732
5724661,11.205,8379,1.721,29,2183.348,393.070,2127.421,405.041
5778313,8.001,4740,7.527,29,523.683,327.120,470.413,322.762
5796048,10.808,3621,0.559,29,12211.616,11954.792,12248.538,11953.791
6176523,7.473,6599,10.032,34,327.863,126.991,296.210,121.733
6424046,8.386,5214,9.968,34,501.445,207.406,461.831,209.650
6609005,13.282,0,0.000,34,30441.292,18325.450,30604.603,18725.388
6610653,10.219,5856,2.063,34,1238.383,527.415,1182.502,527.832
6677245,5.384,5938,1.633,34,201.905,48.139,111.665,32.044
6778185,8.004,5309,2.791,34,409.781,92.815,363.151,85.963
6871644,8.002,10144,3.698,34,384.441,65.662,335.084,62.068
6992156,12.393,5868,0.819,34,4303.247,815.843,4376.073,919.271
7020254,12.746,5742,0.856,34,5720.718,1509.894,5697.957,1482.680
7032000,8.037,5731,12.541,34,460.309,209.376,400.961,204.930
7148510,8.033,4679,13.420,29,604.983,402.589,525.135,406.928
7151484,9.880,3403,0.439,29,11643.478,7549.388,11469.740,7172.662
7220927,8.020,4862,9.735,29,636.627,504.511,598.175,498.453
7222624,8.627,4712,10.858,30,686.423,463.440,658.689,470.182
7245573,8.032,4473,19.396,30,445.200,239.239,400.474,233.448
7317423,8.075,4931,6.451,30,449.102,182.062,400.979,178.186
7323195,8.000,6739,1.406,31,470.339,275.714,436.594,275.591
7323195,8.000,6739,1.406,33,459.579,265.916,426.496,266.853
7491381,9.990,5692,0.963,31,1651.569,1367.768,1729.634,1458.456
7491381,9.990,5692,0.963,32,2400.917,2003.932,2400.065,2017.166
7491381,9.990,5692,0.963,33,2584.413,2014.850,2539.047,1925.620
7493647,9.279,7394,2.109,32,3086.020,1213.090,3082.803,1209.472
7493647,9.279,7394,2.109,33,3031.310,1126.890,3016.627,1120.143
7586485,8.520,5801,1.113,31,1507.224,1620.289,1688.935,1643.339
7586485,8.520,5801,1.113,32,1367.317,1442.692,1414.733,1437.039
7586966,8.008,4730,11.252,31,522.402,340.837,483.105,338.652
7586966,8.008,4730,11.252,32,524.937,337.659,483.458,333.961
7623047,8.089,10020,2.086,31,391.329,75.726,353.314,68.199
7623047,8.089,10020,2.086,32,386.987,74.381,352.062,66.611
7625199,11.353,4012,0.565,31,2051.443,356.681,1923.503,346.532
7625199,11.353,4012,0.565,32,2157.412,454.229,2037.481,393.227
7647775,11.020,3362,0.497,31,5342.397,3169.596,5120.539,3113.442
