ticids,tmags,slow_2min,slow_30min,fast_2min,fast_30min
2670610,11.54389954,2849.9318091157475,720.878100243774,2729.6744576923843,690.1686691371751
8112435,8.2791996,720.2153254044448,435.04540453571553,595.7654889361414,451.4923551916995
8194633,8.01990032,432.8361550712847,161.84961576420127,380.1740251474186,146.45229002324635
12723842,8.01130009,1772.878510216438,177.27017702592835,405.7838745693681,134.79340954602492
24705240,8.00769997,465.0028272733973,149.43363377410012,347.2639996030142,119.0953840847437
24706089,8.00220013,632.7290466129846,366.55867113836035,496.99851496411793,379.8663583622934
24706893,8.20600033,604.5390234468474,319.19236262096376,451.6308394763026,295.8441718343483
25132314,8.02890015,1114.522169816056,381.62575248577843,512.2098468254666,418.8781694043237
25133286,13.58250046,970581.348800381,82474.64056638815,66402.75847708664,52594.520472527365
25155310,10.61030006,1436.6307417300684,428.4176561424231,1455.7163983854407,425.91427070350284
25230545,8.39999962,594.9950657605062,268.6889198640754,475.37839588367325,255.57086399732074
25247445,8.27873993,491.1603409322582,239.61519691216586,435.475121928491,221.30064451884553
25300088,13.25599957,8727.242344330327,2305.74948103715,8727.613339304793,2449.0822130889424
25375915,8.18620014,573.609530944816,309.1181850631592,473.6296360718026,308.8998353253151
29284027,8.14669991,738.3311710127773,347.4707557656781,514.8008273183964,339.71419746331685
29344935,13.23659992,8649.697688128803,2430.2627808524708,8449.328005823032,2502.7468449681583
29433169,8.39929962,1103.2991825367476,257.90778247765303,465.4558538978209,188.8679353705217
29495056,8.14890003,692.5113371204824,389.75579051488387,545.9962338672797,426.859185508902
29634122,8.05809975,1072.3255050454277,183.54444550491186,391.5910805179939,183.98989136029897
29781292,8.93869972,586.6441027849578,156.7241570067218,536.181537469175,138.58421702862464
29821374,15.4090004,57818.930508458114,14587.188178754477,60586.524913190115,16076.134376115784
29821613,8.22095966,1577.5808575607543,831.870793336778,1557.4940242715431,815.2967604211634
29831118,8.06159973,718.1828158971683,399.3439331905136,495.2439486915789,356.73101199962326
29840077,15.6260004,70541.07028934009,17251.763957804476,70098.64753846714,17977.905953087975
29857954,10.73789978,1571.4833290389254,432.4826751569758,1471.2253812631754,390.105247737552
29986479,8.00660038,567.1585225086781,332.97807927901204,450.00239318514446,303.057414303398
30037565,9.59700012,853.1237731846024,228.65731956858903,790.9084806647962,200.09564267845857
30312676,11.30290031,5133.058575637126,1067.5093412129684,1685.1361143362763,570.8847294763972
30316134,11.06869984,4842.321346118031,3246.7130129275215,4782.830622986837,3140.863841251442
30421442,8.03030014,380.5653127428517,102.37662018172384,337.6504032669658,93.44522331959656
30631031,7.27710009,895.8064728374057,740.5846054664968,823.0616678790586,730.0411021152248
30853028,8.11369991,668.4305179581864,434.9570345571383,555.6102767325967,443.1450198106952
30853470,11.30420017,2173.5479930856104,555.184390411463,2073.4135564681333,590.107311766302
30900417,8.05490017,487.0069519391282,224.37137560759328,415.4150318664642,228.5831809717335
31189268,12.83650017,7668.393261017926,1839.9071389672688,7210.739719976249,1790.0152130756087
31266926,9.63920021,848.7052742557407,224.90159547905668,815.4920093293463,233.88972673792705
31381302,12.48840046,8090.890128595674,7360.688995612002,8233.154959001127,7539.233835991714
31511890,8.04529953,669.756067636845,389.75579051488387,515.3423031551611,361.9436927989833
31553893,9.3781004,834.4777077048063,224.54811556474775,739.3908172799248,222.25641894262705
31560152,8.03559971,1288.257547698895,167.06344450025802,522.718155939756,209.98505649077484
31655134,8.36769962,676.0303361158285,354.275244116125,531.1973231177801,354.4674907010714
31674330,11.57740021,2252.1972740193473,544.8009179286382,2206.9778495871997,552.2438432622592
31705248,8.07719994,413.35057479500495,189.02338417670026,401.74201903188197,191.5323277711773
31814318,8.01729965,369.2981404742545,97.3837163921102,325.74910845104984,85.09868363378143
31852980,9.85420036,907.2062000738687,224.28300562901603,804.7662444905229,216.3391340839623
31942864,8.4762001,1430.2681032725077,240.36634173007235,477.23811133864405,240.79141242272522
31946252,8.46459961,635.2034060131472,330.10605497525194,544.7353693065802,356.9893629909913
31959467,13.83100033,20548.31763864956,5518.9702720839,19831.32620837925,5714.763378400021
32000460,8.45349979,489.48131133929064,126.28069938686522,415.00664916598544,106.68169487977481
