ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
5392904,15.818,0,0.000,35,64943.984,64943.984,64943.984,64454.526
5394046,8.123,5081,12.193,35,477.188,477.188,477.188,477.188
5452928,15.667,0,0.000,35,46710.674,46710.674,46710.674,46652.138
5530177,8.051,9178,1.977,35,431.276,431.276,431.276,428.265
5576756,8.074,5142,8.674,36,446.700,446.700,446.700,443.980
5624184,15.997,0,0.000,35,108802.915,108802.915,108802.915,108037.859
5624184,15.997,0,0.000,36,98848.186,98848.186,98848.186,98598.622
5640393,11.181,0,0.000,29,7635.890,7635.890,7635.890,7585.441
5656273,9.211,3815,0.587,29,33633.478,33633.478,33633.478,33607.580
5676537,9.320,4515,0.687,29,2593.635,2593.635,2593.635,2592.053
5678173,8.006,4931,10.486,29,507.312,507.312,507.312,504.794
5717323,8.107,4475,16.725,29,554.383,554.383,554.383,550.481
5724661,11.205,8379,1.721,29,2183.348,2183.348,2183.348,2183.348
5778313,8.001,4740,7.527,29,524.209,524.209,524.209,523.683
5796048,10.808,3621,0.559,29,12218.260,12218.260,12218.260,12211.616
5909560,8.065,4012,49.048,35,444.918,444.918,444.918,443.274
6176523,7.473,6599,10.032,34,333.407,333.407,333.407,327.863
6424046,8.386,5214,9.968,34,507.559,507.559,507.559,501.445
6609005,13.282,0,0.000,34,30628.182,30628.182,30628.182,30441.292
6610653,10.219,5856,2.063,34,1238.383,1238.383,1238.383,1238.383
6677245,5.384,5938,1.633,34,203.559,203.559,203.559,201.905
6778185,8.004,5309,2.791,34,414.029,414.029,414.029,409.781
6871644,8.002,10144,3.698,34,390.885,390.885,390.885,384.441
6992156,12.393,5868,0.819,34,4312.692,4312.692,4312.692,4303.247
7020254,12.746,5742,0.856,34,5720.718,5720.718,5720.718,5720.718
7032000,8.037,5731,12.541,34,461.773,461.773,461.773,460.309
7148510,8.033,4679,13.420,29,611.503,611.503,611.503,604.983
7151484,9.880,3403,0.439,29,11650.791,11650.791,11650.791,11643.478
7218781,8.135,4970,11.212,30,544.513,544.513,544.513,544.165
7220927,8.020,4862,9.735,29,638.471,638.471,638.471,636.627
7222624,8.627,4712,10.858,30,686.932,686.932,686.932,686.423
7245573,8.032,4473,19.396,30,446.535,446.535,446.535,445.200
7264867,8.632,4902,6.630,29,583.786,583.786,583.786,582.435
7317423,8.075,4931,6.451,30,450.201,450.201,450.201,449.102
7323195,8.000,6739,1.406,31,475.967,475.967,475.967,470.339
7323195,8.000,6739,1.406,33,461.699,461.699,461.699,459.579
7417954,11.022,7862,2.179,31,3882.718,3882.718,3882.718,3882.718
7420438,8.210,7047,1.641,32,471.229,471.229,471.229,468.732
7491381,9.990,5692,0.963,31,1659.275,1659.275,1659.275,1651.569
7491381,9.990,5692,0.963,32,2415.627,2415.627,2415.627,2400.917
7491381,9.990,5692,0.963,33,2587.779,2587.779,2587.779,2584.413
7493647,9.279,7394,2.109,33,3032.346,3032.346,3032.346,3031.310
7493647,9.279,7394,2.109,32,3086.659,3086.659,3086.659,3086.020
7586485,8.520,5801,1.113,31,1507.583,1507.583,1507.583,1507.224
7586485,8.520,5801,1.113,32,1368.439,1368.439,1368.439,1367.317
7586966,8.008,4730,11.252,31,524.257,524.257,524.257,522.402
7586966,8.008,4730,11.252,32,526.662,526.662,526.662,524.937
7623047,8.089,10020,2.086,31,391.874,391.874,391.874,391.329
7623047,8.089,10020,2.086,32,390.236,390.236,390.236,386.987
7625199,11.353,4012,0.565,31,2051.443,2051.443,2051.443,2051.443
7625199,11.353,4012,0.565,32,2157.412,2157.412,2157.412,2157.412
7647775,11.020,3362,0.497,31,5364.347,5364.347,5364.347,5342.397
7647775,11.020,3362,0.497,32,3550.655,3550.655,3550.655,3526.096
7649668,8.071,4572,12.297,32,495.994,495.994,495.994,492.232
7649668,8.071,4572,12.297,31,552.574,552.574,552.574,547.898
7722646,8.005,5228,3.060,31,396.821,396.821,396.821,395.224
7722646,8.005,5228,3.060,32,385.644,385.644,385.644,384.576
7723060,11.221,3199,0.220,32,2605.645,2605.645,2605.645,2594.678
7723060,11.221,3199,0.220,31,2569.810,2569.810,2569.810,2547.013
7780491,8.042,8006,2.402,31,1151.201,1151.201,1151.201,1150.434
7843830,12.458,3334,0.396,34,6540.021,6540.021,6540.021,6480.963
7890779,8.036,3962,50.005,34,442.573,442.573,442.573,434.846
7975441,14.381,0,0.000,34,35312.414,35312.414,35312.414,35249.889
7985934,8.055,4508,9.148,35,520.458,520.458,520.458,516.428
8112435,8.279,4920,9.977,27,661.407,661.407,661.407,656.832
8194633,8.020,4809,3.319,27,442.920,442.920,442.920,441.018
9006668,9.927,5029,0.766,29,1035.688,1035.688,1035.688,1035.688
9056576,9.168,4822,12.988,29,782.927,782.927,782.927,780.860
9058053,8.089,4570,16.545,29,591.725,591.725,591.725,588.822
9097661,8.062,6585,1.822,29,427.474,427.474,427.474,422.607
9149953,8.305,6394,2.898,32,455.954,455.954,455.954,451.972
9150015,4.905,6221,1.225,32,443.003,443.003,443.003,437.295
9166565,8.081,5006,10.164,29,621.117,621.117,621.117,618.200
9176012,9.951,9079,1.758,32,1867.203,1867.203,1867.203,1867.203
9179390,8.094,4758,9.871,29,592.383,592.383,592.383,591.045
9210746,8.728,3406,0.555,29,1706.015,1706.015,1706.015,1697.701
9266461,15.759,0,0.000,32,59943.262,59943.262,59943.262,59595.395
9268360,14.145,50000,0.147,32,19353.362,19353.362,19353.362,18842.656
9295107,8.038,5104,9.560,32,454.486,454.486,454.486,451.736
9354932,13.000,0,0.000,32,11522.699,11522.699,11522.699,11370.377
9358354,14.286,31000,0.180,32,19299.284,19299.284,19299.284,19252.270
9380488,8.258,7572,1.654,32,447.007,447.007,447.007,445.378
9708387,8.106,5841,1.397,29,809.819,809.819,809.819,806.629
9709881,9.736,5372,5.357,29,879.568,879.568,879.568,879.568
9761274,11.074,7526,1.210,29,3491.893,3491.893,3491.893,3489.530
9786384,8.465,4865,15.708,29,565.712,565.712,565.712,564.716
9791889,8.127,7017,1.826,29,661.100,661.100,661.100,660.593
9803255,9.899,7795,1.764,29,1587.510,1587.510,1587.510,1587.510
9805120,11.327,7358,1.602,31,6395.577,6395.577,6395.577,6391.939
9887662,4.575,7572,1.995,31,108.222,108.222,108.222,104.978
9899585,8.042,4939,10.537,31,524.794,524.794,524.794,523.317
9899967,5.765,0,0.000,31,4721.111,4721.111,4721.111,2831.070
9945024,13.443,3156,0.335,31,13222.500,13222.500,13222.500,13222.500
9964140,9.243,3550,0.475,31,1134.970,1134.970,1134.970,765.063
9965534,8.085,5182,12.591,31,433.525,433.525,433.525,433.525
9967272,8.078,6781,2.035,31,393.649,393.649,393.649,391.033
10066435,8.121,6552,1.530,33,414.728,414.728,414.728,414.313
10785357,8.168,6621,2.436,30,488.181,488.181,488.181,484.304
10821149,8.059,3724,56.450,30,601.418,601.418,601.418,599.540
10838265,5.998,7558,1.964,30,3208.681,3208.681,3208.681,3208.681
10838592,8.028,4229,31.075,30,650.449,650.449,650.449,637.131
10863087,10.391,3296,0.405,30,13804.039,13804.039,13804.039,13702.367
10863225,10.264,3426,0.302,30,1255.105,1255.105,1255.105,1252.335
10932094,8.580,4814,10.020,31,716.189,716.189,716.189,709.355
10936296,8.000,7986,3.009,31,1114.336,1114.336,1114.336,1112.673
10938216,15.358,0,0.000,31,29833.974,29833.974,29833.974,28805.267
10958867,10.575,7496,1.979,31,2841.219,2841.219,2841.219,2841.219
10996609,8.901,4951,10.271,31,643.785,643.785,643.785,641.731
11046349,9.422,5410,1.119,31,1378.395,1378.395,1378.395,1377.991
11049041,8.373,4987,10.148,32,506.807,506.807,506.807,505.621
11053001,8.055,8279,1.580,32,884.302,884.302,884.302,884.302
11201507,8.017,6219,8.283,32,452.541,452.541,452.541,447.553
11289814,8.076,6608,2.079,32,417.258,417.258,417.258,415.180
11310083,4.413,6128,1.248,35,135.750,135.750,135.750,128.907
11488935,8.204,4544,20.503,30,501.044,501.044,501.044,491.796
11521555,9.098,6294,3.096,35,726.902,726.902,726.902,726.902
11521786,8.005,4634,18.380,35,503.466,503.466,503.466,502.034
11528274,8.753,4405,22.967,30,1221.173,1221.173,1221.173,1219.522
11529003,8.352,3772,59.824,30,532.041,532.041,532.041,527.301
11555687,9.799,5553,3.553,30,881.582,881.582,881.582,881.582
11569869,8.156,7143,2.797,30,445.902,445.902,445.902,439.653
11614297,10.658,3383,0.332,30,1558.491,1558.491,1558.491,1550.918
11614485,11.624,3309,0.366,30,8007.404,8007.404,8007.404,7946.251
11645994,14.739,0,0.000,30,21721.181,21721.181,21721.181,21459.507
11649826,8.353,0,0.000,30,408.131,408.131,408.131,404.531
11654435,11.549,3238,0.217,35,3080.839,3080.839,3080.839,3076.229
11974826,11.005,3094,0.221,36,5840.946,5840.946,5840.946,5825.109
11974826,11.005,3094,0.221,35,4623.642,4623.642,4623.642,4599.296
12013892,8.095,4479,20.383,35,501.237,501.237,501.237,497.498
12359032,11.588,5471,0.901,29,2831.857,2831.857,2831.857,2831.857
12378718,14.079,40975,0.131,29,15132.651,15132.651,15132.651,15046.757
12393800,10.740,5571,1.313,29,6002.575,6002.575,6002.575,6002.575
12395214,14.126,37500,0.127,29,16255.006,16255.006,16255.006,16255.006
12395634,8.064,6275,2.197,29,450.659,450.659,450.659,450.051
12421477,11.701,3461,0.582,29,7420.917,7420.917,7420.917,7399.654
12421862,9.928,3782,0.447,29,1015.416,1015.416,1015.416,1015.416
12423805,12.722,38000,0.658,29,5822.655,5822.655,5822.655,5815.809
12433577,8.159,4780,8.143,29,581.997,581.997,581.997,581.246
12473170,8.748,6966,2.582,29,2099.845,2099.845,2099.845,2099.943
