ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
5394046,8.123,5081,12.193,35,528.664,449.134,449.134,428.313
5452928,15.667,0,0.000,35,45927.033,46313.521,46313.521,46313.521
5576756,8.074,5142,8.674,36,490.673,419.680,419.680,404.957
5624184,15.997,0,0.000,35,106127.329,107563.473,107563.473,107563.473
5624184,15.997,0,0.000,36,98563.328,99507.712,99507.712,99507.712
5640393,11.181,0,0.000,29,7769.704,7596.068,7596.068,7575.298
5656273,9.211,3815,0.587,29,33601.958,33606.809,33606.809,33604.983
5676537,9.320,4515,0.687,29,2637.448,2592.195,2592.195,2583.717
5678173,8.006,4931,10.486,29,522.879,476.641,476.641,458.661
5717323,8.107,4475,16.725,29,577.070,523.669,523.669,512.097
5724661,11.205,8379,1.721,29,2298.289,2126.041,2126.041,2101.348
5778313,8.001,4740,7.527,29,523.838,484.109,484.109,468.900
5796048,10.808,3621,0.559,29,12299.508,12280.113,12280.113,12276.388
6176523,7.473,6599,10.032,34,319.938,297.661,297.661,294.488
6424046,8.386,5214,9.968,34,507.673,467.660,467.660,459.101
6609005,13.282,0,0.000,34,30604.333,30641.880,30641.880,30642.239
6610653,10.219,5856,2.063,34,1221.930,1173.239,1173.239,1169.688
6677245,5.384,5938,1.633,34,119.329,112.594,112.594,112.045
6778185,8.004,5309,2.791,34,405.066,365.712,365.712,359.283
6871644,8.002,10144,3.698,34,404.206,357.336,357.336,336.241
6992156,12.393,5868,0.819,34,4388.748,4381.830,4381.830,4374.552
7020254,12.746,5742,0.856,34,5719.193,5720.591,5720.591,5714.568
7032000,8.037,5731,12.541,34,436.174,403.959,403.959,399.261
7148510,8.033,4679,13.420,29,552.736,520.065,520.065,519.671
7151484,9.880,3403,0.439,29,11465.494,11591.566,11591.566,11600.208
7220927,8.020,4862,9.735,29,612.364,595.547,595.547,594.180
7222624,8.627,4712,10.858,30,664.497,657.952,657.952,657.660
7245573,8.032,4473,19.396,30,410.046,399.260,399.260,397.954
7317423,8.075,4931,6.451,30,415.941,397.419,397.419,396.597
7323195,8.000,6739,1.406,31,462.246,431.287,431.287,429.515
7323195,8.000,6739,1.406,33,447.588,422.817,422.817,420.681
7491381,9.990,5692,0.963,31,1742.531,1725.109,1725.109,1724.422
7491381,9.990,5692,0.963,32,2410.062,2392.486,2392.486,2392.250
7491381,9.990,5692,0.963,33,2541.013,2533.408,2533.408,2533.352
7493647,9.279,7394,2.109,32,3092.842,3081.912,3081.912,3080.982
7493647,9.279,7394,2.109,33,3024.067,3019.212,3019.212,3015.703
7586485,8.520,5801,1.113,31,1695.567,1686.062,1686.062,1686.776
7586485,8.520,5801,1.113,32,1424.280,1411.627,1411.627,1410.621
7586966,8.008,4730,11.252,31,495.185,481.738,481.738,480.700
7586966,8.008,4730,11.252,32,502.127,479.222,479.222,477.186
7623047,8.089,10020,2.086,31,370.918,347.257,347.257,346.363
7623047,8.089,10020,2.086,32,380.261,349.222,349.222,345.343
7625199,11.353,4012,0.565,31,1927.246,1926.478,1926.478,1926.354
7625199,11.353,4012,0.565,32,2077.653,2083.174,2083.174,2040.644
7647775,11.020,3362,0.497,31,5146.250,5130.001,5130.001,5104.299
7647775,11.020,3362,0.497,32,3283.442,3297.067,3297.067,3283.025
7649668,8.071,4572,12.297,31,516.293,488.978,488.978,485.719
7649668,8.071,4572,12.297,32,482.984,449.303,449.303,443.227
7722646,8.005,5228,3.060,31,368.015,341.263,341.263,340.365
7722646,8.005,5228,3.060,32,385.246,353.514,353.514,350.653
7723060,11.221,3199,0.220,31,2495.583,2476.953,2476.953,2474.756
7723060,11.221,3199,0.220,32,2610.160,2596.793,2596.793,2595.766
7780491,8.042,8006,2.402,31,1157.476,1145.222,1145.222,1144.234
7843830,12.458,3334,0.396,34,6639.318,6498.931,6498.931,6474.644
7890779,8.036,3962,50.005,34,608.334,524.402,524.402,514.280
7975441,14.381,0,0.000,34,36286.853,34147.363,34147.363,34147.363
7985934,8.055,4508,9.148,35,558.000,503.233,503.233,477.931
8112435,8.279,4920,9.977,27,680.739,611.773,611.773,602.466
8194633,8.020,4809,3.319,27,466.560,397.427,397.427,387.706
9006668,9.927,5029,0.766,29,1194.198,1027.878,1027.878,948.321
9056576,9.168,4822,12.988,29,853.436,689.865,689.865,679.372
9058053,8.089,4570,16.545,29,578.177,517.512,517.512,507.298
9097661,8.062,6585,1.822,29,453.214,389.002,389.002,367.035
9149953,8.305,6394,2.898,32,547.097,442.337,442.337,418.359
9150015,4.905,6221,1.225,32,391.264,388.549,388.549,387.438
9166565,8.081,5006,10.164,29,597.960,502.041,502.041,491.245
9176012,9.951,9079,1.758,32,1898.249,1839.822,1839.822,1830.719
9179390,8.094,4758,9.871,29,570.590,497.009,497.009,488.507
9210746,8.728,3406,0.555,29,1672.570,1618.569,1618.569,1614.543
9266461,15.759,0,0.000,32,484885.454,485558.629,485558.629,485558.629
9268360,14.145,50000,0.147,32,19259.611,19608.080,19608.080,19306.526
