time,time,flux,flux_err
2061.8521281940903,2061.8521281940903,1428624.7544000892,126.67562074300248
2061.8535170653713,2061.8535170653713,1428306.4066768547,126.66182830671599
2061.8549059366514,2061.8549059366514,1428803.1800738764,126.68562298190155
2061.8562948078156,2061.8562948078156,1428396.7485078324,126.66509344897473
2061.8576836790967,2061.8576836790967,1428451.7639405678,126.6679845908685
2061.8590725503773,2061.8590725503773,1428476.8932015384,126.66637326925998
2061.8604614216574,2061.8604614216574,1428335.58818807,126.65796553859137
2061.8618502929394,2061.8618502929394,1428447.7553100768,126.66754128672822
2061.8632391641045,2061.8632391641045,1428464.4126601722,126.66968455149402
2061.864628035385,2061.864628035385,1428528.8731739363,126.67352383440274
2061.866016906665,2061.866016906665,1428641.5995866177,126.67810692237826
2061.8674057779463,2061.8674057779463,1428646.231807071,126.67671929339463
2061.8687946492264,2061.8687946492264,1428347.2891840923,126.66247594493011
2061.87018352039,2061.87018352039,1428688.617981698,126.67552823306086
2061.871572391671,2061.871572391671,1428472.1800661825,126.67176995955926
2061.8729612629522,2061.8729612629522,1428818.217458647,126.68400417599098
2061.874350134116,2061.874350134116,1428953.1007382572,126.6902557359385
2061.8757390053966,2061.8757390053966,1428210.0442416766,126.66092623368503
2061.8799056191233,2061.8799056191233,1428455.9900995882,126.66874784131838
2061.8854611041297,2061.8854611041297,1428544.1916533038,126.6732347358253
2061.889627717855,2061.889627717855,1428285.7692796513,126.6587211392291
2061.8910165890197,2061.8910165890197,1428697.2996310717,126.68038876810215
2061.8924054603,2061.8924054603,1428599.0655383845,126.66728301316603
2061.8937943314636,2061.8937943314636,1428574.148346397,126.67149242109488
2061.895183202745,2061.895183202745,1428600.3651740304,126.67445280003186
2061.8965720739106,2061.8965720739106,1428395.035750434,126.66496238231194
2061.897960945191,2061.897960945191,1428621.3167235423,126.67431788843388
2061.899349816355,2061.899349816355,1428441.1746620946,126.6684433126499
2061.900738687636,2061.900738687636,1428312.4826280568,126.65780747870421
2061.9021275588,2061.9021275588,1428683.150407559,126.67768678076261
2061.9035164300803,2061.9035164300803,1428273.6351472556,126.65889076324251
2061.904905301245,2061.904905301245,1428530.3539102876,126.67314993345077
2061.906294172525,2061.906294172525,1428226.9865975238,126.65685140493783
2061.9076830436893,2061.9076830436893,1428804.5527320292,126.68017677403202
2061.9090719149704,2061.9090719149704,1428709.4721061587,126.67948297277661
2061.910460786135,2061.910460786135,1428558.9350176265,126.6713729251799
2061.9118496572996,2061.9118496572996,1428493.1000986109,126.66713652941911
2061.9132385285807,2061.9132385285807,1428502.7841212186,126.66900611189385
2061.916016270909,2061.916016270909,1428712.0296342035,126.67881614910009
2061.917405142189,2061.917405142189,1428409.0387722456,126.6640641865324
2061.918794013354,2061.918794013354,1428540.823244116,126.67326171838712
2061.9201828845185,2061.9201828845185,1428833.8416320176,126.68280932978831
2061.921571755799,2061.921571755799,1428624.6434727535,126.67516975639899
2061.922960626963,2061.922960626963,1428464.9880048737,126.66859364967901
2061.9243494981274,2061.9243494981274,1428139.9179406157,126.64970375384816
2061.9257383694076,2061.9257383694076,1428703.833620707,126.67299574716981
2061.9271272405717,2061.9271272405717,1428372.1596305373,126.66119994028361
2061.9285161117364,2061.9285161117364,1428521.2913077362,126.67271435672325
2061.929904982901,2061.929904982901,1429032.6467567037,126.69143509552056
2061.931293854182,2061.931293854182,1428402.1833600928,126.66762609285767
2061.9326827253467,2061.9326827253467,1428449.2750930476,126.6668782550316
2061.9340715965113,2061.9340715965113,1428723.7146137867,126.67657282055944
2061.9354604676755,2061.9354604676755,1428703.8138923529,126.6761179827812
2061.9368493388392,2061.9368493388392,1428578.8442080452,126.671561805768
2061.938238210004,2061.938238210004,1428554.377962389,126.674896079985
2061.939627081284,2061.939627081284,1428728.741685341,126.67708547474165
2061.9410159524477,2061.9410159524477,1428639.0054182734,126.67372813033293
2061.9424048236124,2061.9424048236124,1428818.214450972,126.6825472329851
2061.943793694777,2061.943793694777,1428769.6420587949,126.67673471157796
2061.9451825659407,2061.9451825659407,1428431.731826961,126.6669013841027
2061.9465714371054,2061.9465714371054,1428643.1809409354,126.67321160791062
2061.947960308271,2061.947960308271,1428426.9699454298,126.66495467250402
2061.9493491794346,2061.9493491794346,1428653.6242854774,126.67356238082988
2061.950738050599,2061.950738050599,1428562.423174926,126.67110309527979
2061.9521269217635,2061.9521269217635,1428545.5388723246,126.66890588755395
2061.9535157929276,2061.9535157929276,1428601.3821063074,126.67073689663884
2061.9549046640914,2061.9549046640914,1428488.9982422583,126.66909091704258
2061.956293535256,2061.956293535256,1428890.331363256,126.68341831732558
2061.9576824064206,2061.9576824064206,1428385.6468132492,126.66092623368503
2061.9590712775844,2061.9590712775844,1428322.493496758,126.65978128558608
2061.9604601487486,2061.9604601487486,1428952.5635265051,126.68718780795278
2061.961849019913,2061.961849019913,1428798.8202075674,126.68475191272034
2061.963237891078,2061.963237891078,1428882.634421327,126.68154123874955
2061.964626762242,2061.964626762242,1428820.8504405222,126.68225044624444
2061.9660156334066,2061.9660156334066,1428999.2428261645,126.68836334190287
2061.9674045045713,2061.9674045045713,1428836.0740052988,126.68034251488073
2061.968793375735,2061.968793375735,1428582.7663674157,126.67385918792598
