id_starname,gammapav
teff,6168
teff_err,133
logg,4.4
logg_err,0.01
feh,-0.66
feh_err,0.09
lum,-99
lum_err,0
gmag,-99
gmag_err,0
rmag,-99
rmag_err,0
imag,-99
imag_err,0
zmag,-99
zmag_err,0
jmag,-99
jmag_err,0
hmag,-99
hmag_err,0
kmag,-99
kmag_err,0
gamag,-99
gamag_err,0
bpmag,-99
bpmag_err,0
rpmag,-99
rpmag_err,0
parallax,0.10801
parallax_err,0.000106
bmag,-99
bmag_err,0
vmag,-99
vmag_err,0
btmag,4.783
btmag_err,0.013999999999999999
vtmag,4.276
vtmag_err,0.009000000000000001
numax,-99
numax_err,0
dnu,-99
dnu_err,0
dmag,-99.0
dmag_err,-99.0
ra,321.61
dec,-65.37
band,btmag
dir_dis,9.25840458404584
dir_dis_err1,0.008996409964099783
dir_dis_err2,-0.009004090040900081
dir_avs,0.0
dir_avs_err1,0.0
dir_avs_err2,-0.0
dir_rad,1.0495120626164764
dir_rad_err1,0.04899075101204042
dir_rad_err2,-0.04604770858215823
dir_lum,1.4319111262006672
dir_lum_err1,0.04236352179588776
dir_lum_err2,-0.04076136580246703
dir_teff,6168
dir_teff_err1,133
dir_teff_err2,-133
dir_mabs,4.950312235835671
dir_mabs_err1,0.03135544589439654
dir_mabs_err2,-0.0316558342960942
dir_mass,0.0
dir_mass_err1,0.0
dir_mass_err2,-0.0
dir_rho,0.0
dir_rho_err1,0.0
dir_rho_err2,-0.0
dir_fbol,5.344506406968792e-07
dir_fbol_err1,1.5754859794290815e-08
dir_fbol_err2,-1.5202310234980273e-08
