t,rv,rv_err,inst_id
2450829.992998,-41.0,4.8,0
2451119.25037,-67.4,9.8,0
2451131.806114,10609.63,8.74,3
2451139.791656,10592.62,6.14,3
2451189.666147,10617.22,5.81,3
2451236.032894,-79.2,6.0,0
2451256.511024,10625.82,5.32,3
2451411.324919,-85.8,5.8,0
2451453.866446,10584.39,5.7,3
2451473.266968,-80.0,4.8,0
2451526.080417,-93.0,4.6,0
2451527.08206,-89.8,4.1,0
2451530.127963,-87.9,4.5,0
2451629.91162,-92.7,5.6,0
2451683.842245,-100.5,5.0,0
2451828.187512,-67.4,4.8,0
2451902.680496,10615.21,2.56,3
2451919.098912,-35.0,7.2,0
2451921.138333,-37.3,4.7,0
2451983.919097,-2.8,5.6,0
2452060.839606,136.1,4.8,0
2452092.336609,212.0,4.7,0
2452093.351481,209.4,4.4,0
2452127.327812,287.8,5.9,0
2452128.33566,286.1,4.2,0
2452130.338299,289.9,6.7,0
2452151.29169,307.9,5.2,0
2452154.304259,303.0,10.0,0
2452187.195868,285.7,3.9,0
2452188.235856,289.3,3.7,0
2452189.222281,279.7,3.3,0
2452190.145131,283.5,3.7,0
2452387.870637,100.9,3.6,0
2452389.851273,97.4,3.3,0
2452510.306644,41.7,4.2,0
2452592.126225,20.2,3.2,0
2452599.15463,21.0,12.0,0
2452654.098576,18.8,4.7,0
2452751.917731,-11.7,4.2,0
2452944.22388,-43.4,3.8,0
2453001.82961663,10659.9883522451,1.01711200047501,1
2453004.074711,-32.1,4.4,0
2453034.60651333,10666.4653226534,0.577098839227867,1
2453042.077998,-44.0,4.2,0
2453043.017338,-46.3,4.5,0
2453047.049363,-40.8,4.3,0
2453048.096761,-44.4,3.6,0
2453245.310903,-69.7,5.0,0
2453289.87372358,10645.41411331323,0.8120271791547766,1
2453291.87500836,10639.108272930149,1.0726933872506859,1
2453292.87066261,10638.505981162038,1.0829542827729397,1
2453294.870669215,10634.430976569325,1.4144578648604125,1
2453296.86809541,10637.377952449622,0.6825055339113598,1
2453402.035003,-66.9,1.8,0
2453418.550913,10595.03,3.2,3
2453669.243351,-86.3,1.9,0
2454046.797033,10637.35,2.83,3
2454047.79557962,10689.2854239003,0.366735638463176,1
2454049.77608879,10686.2449190955,0.387537388686616,1
2454051.79086356,10689.58967061155,0.438706993195889,1
2454053.854880655,10692.52516113445,0.267293118650875,1
2454055.8441375,10694.6059907256,0.30115131166890197,1
2454097.729955,10710.95,2.87,3
2454108.690443,10726.3,2.7,3
2454433.741723,10759.67,3.21,4
2454768.87129,10683.87,4.28,4
2454808.722259,10665.89,7.64,4
2454814.688809,10661.97,2.73,4
2454817.692073,10655.47,2.83,4
2455097.897419,10627.11,3.04,4
2455111.87242194,10657.2278293155,0.257386761463186,1
2455115.8574155197,10658.42532503395,0.4143177928018385,1
2455123.86777154,10655.065118885666,0.39209167505686837,1
2455124.86190465,10658.555884618132,0.36051727842203835,1
2455126.82936164,10657.3748642674,0.294215420787004,1
2455126.8350848947,10658.03078931845,0.28086072129890105,1
2455128.86272069,10658.990573459634,0.296078079970091,1
2455129.860767,10624.08,2.88,4
2455129.86109071,10657.490793466333,0.35409569060885865,1
2455133.83772132,10657.5571662572,0.41207958140918,1
2455135.81655894,10656.457116592152,0.21833176749230798,1
2455138.83441685,10659.3502144947,0.2606000839167615,1
2455140.806879675,10658.7431239701,0.2897803958868945,1
2455164.66232192,10658.040014357766,0.39057932285696667,1
2455166.61769501,10656.0722175943,0.28331516971735,1
2455167.637812255,10656.053583778776,0.35228013413394443,1
2455168.66158727,10655.0336317856,0.29526749126434976,1
2455169.666514485,10657.6085861294,0.3588085500308243,1
2455201.650811,10627.52,4.23,4
2455279.49045097,10645.555757510332,0.39065933786083834,1
2455927.670281,10598.38,2.74,4
2456318.607337,10980.69,3.04,4
2456586.846661,10771.65,2.76,4
2456619.73570026,10781.742564986935,0.32359595228012233,1
2456623.71935495,10779.541171735735,0.43684653682012836,1
2456625.7609119546,10780.4453430643,0.327713497954023,1
2456628.75065565,10777.21023258105,0.4132239374846035,1
2456632.7222697,10774.41243414715,0.3633554235763275,1
2456648.790972,10736.74,2.48,5
2456700.52275372,10754.480164784,0.32371528264246796,1
2456721.531550185,10742.6742763802,0.33467762931276246,1
2456723.50770056,10743.09213408225,0.353205203387132,1
2456725.50794921,10746.03678317845,0.46741591283022554,1
2456990.73635342,10687.67592151425,0.2690209060946045,1
2456994.7845531497,10688.75055216665,0.3518857250613355,1
2456998.6811806,10686.2178860129,0.228472947498882,1
2457002.78094363,10688.142631951,0.235794894307471,1
2457033.63613992,10684.7914644357,0.204371031172982,1
2457298.85495411,10674.81976849165,0.3732935333225405,2
2457327.75502816,10674.4177716251,0.262966282259233,2
2457354.78289779,10667.4012446297,0.15776233196955,2
2457357.7251229,10672.740709769902,0.153809115728089,2
2457372.70820828,10665.974428661,0.2990823736836577,2
2457423.594056815,10662.89674733545,0.38451872476960747,2
2457424.58871407,10664.38430475055,0.284776335426991,2
2457462.51991985,10661.2157215593,0.24682486718880148,2
2457464.50299368,10661.816531303533,0.32723541646938364,2
2457650.831935,10619.32,2.52,5
2457701.755463,10620.53,2.76,5
2457739.668036,10626.05,3.65,5
2457771.649819,10616.37,2.76,5
2458023.86325,10610.01,2.79,5
2458039.871564,10617.09,2.65,5
2458067.711941,10625.36,2.59,5
2458068.726241,10626.56,2.61,5
2458105.594616,10617.93,11.13,5
2458118.694564,10633.06,2.93,5
2458367.8743095,10875.708333333334,0.24333333333333332,6
2458368.891134,10877.881428571429,0.21142857142857138,6
2458368.90422,10927.89,2.4,5
2458369.827347,10934.75,1.82,5
2458369.8828945,10877.962857142858,0.20071428571428576,6
2458370.842828,10931.06,1.86,5
2458370.892542,10878.942500000001,0.3,6
2458371.856224,10939.83,1.82,5
2458371.887261,10884.435833333335,0.39916666666666667,6
2458372.8235,10939.66,1.94,5
2458372.8876055,10887.125,0.289,6
2458373.895798,10888.885,0.2283333333333333,6
2458374.884513,10891.28375,0.2575,6
2458375.825311,10952.69,1.93,5
2458376.910227,10953.65,3.1,5
2458378.833191,10953.35,1.84,5
2458384.35595957,10996.9269676137,0.33189547189103424,2
2458385.8141481252,11003.22210862775,0.2858588313155135,2
2458385.8992849803,11003.7401432221,0.26512702538580046,2
2458386.8969347347,11005.1994159976,0.29534349121298753,2
2458393.79251056,11012.2314272496,0.37063994449199433,2
2458396.87704364,11017.617948139034,0.527265504592712,2
2458397.88936919,11019.668258706834,0.420582537362328,2
2458398.8947158,11021.351972624101,0.5244194932859334,2
2458405.88448358,11027.269944757965,0.917343492971819,2
2458407.85219335,11028.061463956168,0.47358499139827664,2
2458414.871054,11004.98,2.06,5
2458415.74670089,11032.528762015974,0.35270229675611536,2
2458416.79586258,11034.320480938833,0.7528232562449539,2
2458417.86628,10997.54,2.95,5
2458421.789564,10943.644999999999,0.19833333333333333,7
2458422.853499,10945.168333333335,0.22833333333333336,7
2458424.818637,10945.383333333331,0.19666666666666666,7
2458424.86454097,11033.6814925333,0.32956509622901103,2
2458425.85830649,11032.138319952257,0.2918426192843286,2
2458426.780692,10943.5525,0.3025,7
2458426.7865345,10942.869999999999,0.24,7
2458427.325836495,11030.6974830322,0.32319898158601035,2
2458427.74937,10995.25,2.55,5
2458428.325655775,11031.494735652317,0.2778700606153263,2
2458428.848915745,11033.063482481217,0.28142455027865815,2
2458432.6327675,10939.356666666668,0.26333333333333336,7
2458436.761177,10941.159999999998,0.3216666666666667,7
2458436.80261509,11032.901645573334,0.4806166586000553,2
2458438.80703949,11026.848759559201,0.3209293937885303,2
2458439.679836,10933.560000000001,0.3,7
2458442.77438818,11026.0369101123,0.2837664897434436,2
2458444.818835,10930.117142857143,0.3042857142857143,7
