 2433.411651     	0.766013    			0
 2550.281492     	0.607412    			0
 2667.210623     	0.323371    			0
 2783.463372     	0.711729    			0
 2901.891323     	1.615597    			0
 3021.265321     	2.731851    			0
 2377.907011     	2.829300    			1
 2494.338954     	1.685646    			1
 2609.270957     	1.383088    			1
 2722.752461     	1.322567    			1
 2837.062227     	2.242186    			1
 2950.988129     	3.904280    			1
 2415.388382     	4.691887    			2
 2533.599811     	3.334764    			2
 2652.241049     	3.006419    			2
 2770.276736     	3.204255    			2
 2887.517846     	3.574067    			2
 3004.838226     	4.603134    			2
