2439.429608 	    0.380422	  			0
2565.508437 	    0.692830	  			0
2691.603858 	    0.172472	  			0
2816.865450 	    0.218883	  			0
2944.387743 	    0.530068	  			0
3068.710895 	    0.903024	  			0
2499.610067 	    0.260920	  			1
2625.380062 	    0.354543	  			1
2752.110262 	    0.514791	  			1
2876.958353 	    0.387591	  			1
3002.346869 	    0.470460	  			1
3128.121183 	    0.689334	  			1
2558.363686 	    1.322837	  			2
2683.476961 	    1.020648	  			2
2809.498240 	    0.377608	  			2
2934.885398 	    0.586060	  			2
